Name,Finish,Lam,N Lams,b,d,A,Ix,Sx,rx,Iy,Sy,ry,Volume 
DF 172x1058,Arch,Single,28,172,1058,181976,16974781939,32088435,305,448631499,5216645,49.65212317,181976
DF 172x1096,Arch,Single,29,172,1096,188512,18870302549,34434859,316,464744917,5404011,49.65212313,188512
DF 172x1134,Arch,Single,30,172,1134,195048,20901928824,36864072,327,480858336,5591376,49.65212315,195048
DF 172x1172,Arch,Single,31,172,1172,201584,23074379755,39376075,338,496971755,5778741,49.65212317,201584
DF 172x1210,Arch,Single,32,172,1210,208120,25392374333,41970867,349,513085173,5966107,49.65212313,208120
DF 172x1248,Arch,Single,33,172,1248,214656,27860631552,44648448,360,529198592,6153472,49.65212315,214656
DF 172x1286,Arch,Single,34,172,1286,221192,30483870403,47408819,371,545312011,6340837,49.65212317,221192
DF 172x1324,Arch,Single,35,172,1324,227728,33266809877,50251979,382,561425429,6528203,49.65212314,227728
DF 172x1362,Arch,Single,36,172,1362,234264,36214168968,53177928,393,577538848,6715568,49.65212315,234264
DF 172x1400,Arch,Single,37,172,1400,240800,39330666667,56186667,404,593652267,6902933,49.65212316,240800
DF 172x1438,Arch,Single,38,172,1438,247336,42621021965,59278195,415,609765685,7090299,49.65212314,247336
DF 172x1476,Arch,Single,39,172,1476,253872,46089953856,62452512,426,625879104,7277664,49.65212315,253872
DF 172x1514,Arch,Single,40,172,1514,260408,49742181331,65709619,437,641992523,7465029,49.65212316,260408
DF 172x1552,Arch,Single,41,172,1552,266944,53582423381,69049515,448,658105941,7652395,49.65212314,266944
DF 222x260,Arch,Single,7,222,260,57720,325156000,2501200,75,237056040,2135640,64.08587988,57720
DF 222x298,Arch,Single,8,222,298,66156,489576452,3285748,86,271702692,2447772,64.08587988,66156
DF 222x336,Arch,Single,9,222,336,74592,701761536,4177152,97,306349344,2759904,64.08587988,74592
DF 222x374,Arch,Single,10,222,374,83028,967802044,5175412,108,340995996,3072036,64.08587988,83028
DF 222x412,Arch,Single,11,222,412,91464,1293788768,6280528,119,375642648,3384168,64.08587988,91464
DF 222x450,Arch,Single,12,222,450,99900,1685812500,7492500,130,410289300,3696300,64.08587988,99900
DF 222x488,Arch,Single,13,222,488,108336,2149964032,8811328,141,444935952,4008432,64.08587988,108336
DF 222x526,Arch,Single,14,222,526,116772,2692334156,10237012,152,479582604,4320564,64.08587988,116772
DF 222x564,Arch,Single,15,222,564,125208,3319013664,11769552,163,514229256,4632696,64.08587988,125208
DF 222x602,Arch,Single,16,222,602,133644,4036093348,13408948,174,548875908,4944828,64.08587988,133644
DF 222x640,Arch,Single,17,222,640,142080,4849664000,15155200,185,583522560,5256960,64.08587988,142080
DF 222x678,Arch,Single,18,222,678,150516,5765816412,17008308,196,618169212,5569092,64.08587988,150516
DF 222x716,Arch,Single,19,222,716,158952,6790641376,18968272,207,652815864,5881224,64.08587988,158952
DF 222x754,Arch,Single,20,222,754,167388,7930229684,21035092,218,687462516,6193356,64.08587988,167388
DF 222x792,Arch,Single,21,222,792,175824,9190672128,23208768,229,722109168,6505488,64.08587988,175824
DF 222x830,Arch,Single,22,222,830,184260,10578059500,25489300,240,756755820,6817620,64.08587988,184260
DF 222x868,Arch,Single,23,222,868,192696,12098482592,27876688,251,791402472,7129752,64.08587988,192696
DF 222x906,Arch,Single,24,222,906,201132,13758032196,30370932,262,826049124,7441884,64.08587988,201132
DF 222x944,Arch,Single,25,222,944,209568,15562799104,32972032,273,860695776,7754016,64.08587988,209568
DF 222x982,Arch,Single,26,222,982,218004,17518874108,35679988,283,895342428,8066148,64.08587988,218004
DF 222x1020,Arch,Single,27,222,1020,226440,19632348000,38494800,294,929989080,8378280,64.08587988,226440
DF 222x1058,Arch,Single,28,222,1058,234876,21909311572,41416468,305,964635732,8690412,64.08587988,234876
DF 222x1096,Arch,Single,29,222,1096,243312,24355855616,44444992,316,999282384,9002544,64.08587988,243312
DF 222x1134,Arch,Single,30,222,1134,251748,26978070924,47580372,327,1033929036,9314676,64.08587988,251748
DF 222x1172,Arch,Single,31,222,1172,260184,29782048288,50822608,338,1068575688,9626808,64.08587988,260184
DF 222x1210,Arch,Single,32,222,1210,268620,32773878500,54171700,349,1103222340,9938940,64.08587988,268620
DF 222x1248,Arch,Single,33,222,1248,277056,35959652352,57627648,360,1137868992,10251072,64.08587988,277056
DF 222x1286,Arch,Single,34,222,1286,285492,39345460636,61190452,371,1172515644,10563204,64.08587988,285492
DF 222x1324,Arch,Single,35,222,1324,293928,42937394144,64860112,382,1207162296,10875336,64.08587988,293928
DF 222x1362,Arch,Single,36,222,1362,302364,46741543668,68636628,393,1241808948,11187468,64.08587988,302364
DF 222x1400,Arch,Single,37,222,1400,310800,50764000000,72520000,404,1276455600,11499600,64.08587988,310800
DF 222x1438,Arch,Single,38,222,1438,319236,55010853932,76510228,415,1311102252,11811732,64.08587988,319236
DF 222x1476,Arch,Single,39,222,1476,327672,59488196256,80607312,426,1345748904,12123864,64.08587988,327672
DF 222x1514,Arch,Single,40,222,1514,336108,64202117764,84811252,437,1380395556,12435996,64.08587988,336108
DF 222x1552,Arch,Single,41,222,1552,344544,69158709248,89122048,448,1415042208,12748128,64.08587988,344544
DF 273x298,Arch,Single,8,273,298,81354,602046718,4040582,86,505269356,3701607,78.80831178,81354
DF 273x336,Arch,Single,9,273,336,91728,862977024,5136768,97,569699676,4173624,78.80831174,91728
DF 273x374,Arch,Single,10,273,374,102102,1190134946,6364358,108,634129997,4645641,78.80831178,102102
DF 273x412,Arch,Single,11,273,412,112476,1591010512,7723352,119,698560317,5117658,78.80831174,112476
DF 273x450,Arch,Single,12,273,450,122850,2073093750,9213750,130,762990638,5589675,78.80831177,122850
DF 273x488,Arch,Single,13,273,488,133224,2643874688,10835552,141,827420958,6061692,78.80831174,133224
DF 273x526,Arch,Single,14,273,526,143598,3310843354,12588758,152,891851279,6533709,78.80831177,143598
DF 273x564,Arch,Single,15,273,564,153972,4081489776,14473368,163,956281599,7005726,78.80831174,153972
DF 273x602,Arch,Single,16,273,602,164346,4963303982,16489382,174,1020711920,7477743,78.80831176,164346
DF 273x640,Arch,Single,17,273,640,174720,5963776000,18636800,185,1085142240,7949760,78.80831174,174720
DF 273x678,Arch,Single,18,273,678,185094,7090395858,20915622,196,1149572561,8421777,78.80831176,185094
DF 273x716,Arch,Single,19,273,716,195468,8350653584,23325848,207,1214002881,8893794,78.80831174,195468
DF 273x754,Arch,Single,20,273,754,205842,9752039206,25867478,218,1278433202,9365811,78.80831176,205842
DF 273x792,Arch,Single,21,273,792,216216,11302042752,28540512,229,1342863522,9837828,78.80831174,216216
DF 273x830,Arch,Single,22,273,830,226590,13008154250,31344950,240,1407293843,10309845,78.80831176,226590
DF 273x868,Arch,Single,23,273,868,236964,14877863728,34280792,251,1471724163,10781862,78.80831174,236964
DF 273x906,Arch,Single,24,273,906,247338,16918661214,37348038,262,1536154484,11253879,78.80831176,247338
DF 273x944,Arch,Single,25,273,944,257712,19138036736,40546688,273,1600584804,11725896,78.80831174,257712
DF 273x982,Arch,Single,26,273,982,268086,21543480322,43876742,283,1665015125,12197913,78.80831176,268086
DF 273x1020,Arch,Single,27,273,1020,278460,24142482000,47338200,294,1729445445,12669930,78.80831174,278460
DF 273x1058,Arch,Single,28,273,1058,288834,26942531798,50931062,305,1793875766,13141947,78.80831176,288834
DF 273x1096,Arch,Single,29,273,1096,299208,29951119744,54655328,316,1858306086,13613964,78.80831174,299208
DF 273x1134,Arch,Single,30,273,1134,309582,33175735866,58510998,327,1922736407,14085981,78.80831175,309582
DF 273x1172,Arch,Single,31,273,1172,319956,36623870192,62498072,338,1987166727,14557998,78.80831174,319956
DF 273x1210,Arch,Single,32,273,1210,330330,40303012750,66616550,349,2051597048,15030015,78.80831175,330330
DF 273x1248,Arch,Single,33,273,1248,340704,44220653568,70866432,360,2116027368,15502032,78.80831174,340704
DF 273x1286,Arch,Single,34,273,1286,351078,48384282674,75247718,371,2180457689,15974049,78.80831175,351078
DF 273x1324,Arch,Single,35,273,1324,361452,52801390096,79760408,382,2244888009,16446066,78.80831174,361452
DF 273x1362,Arch,Single,36,273,1362,371826,57479465862,84404502,393,2309318330,16918083,78.80831175,371826
DF 273x1400,Arch,Single,37,273,1400,382200,62426000000,89180000,404,2373748650,17390100,78.80831174,382200
DF 273x1438,Arch,Single,38,273,1438,392574,67648482538,94086902,415,2438178971,17862117,78.80831175,392574
DF 273x1476,Arch,Single,39,273,1476,402948,73154403504,99125208,426,2502609291,18334134,78.80831174,402948
DF 273x1514,Arch,Single,40,273,1514,413322,78951252926,104294918,437,2567039612,18806151,78.80831175,413322
DF 273x1552,Arch,Single,41,273,1552,423696,85046520832,109596032,448,2631469932,19278168,78.80831174,423696
DF 79x114,Industrial,Single,3,79,114,9006,9753498,171114,33,4683871,118579,22.80533685,9006
DF 79x152,Industrial,Single,4,79,152,12008,23119403,304203,44,6245161,158105,22.80533624,12008
DF 79x190,Industrial,Single,5,79,190,15010,45155083,475317,55,7806451,197632,22.80533588,15010
DF 79x228,Industrial,Single,6,79,228,18012,78027984,684456,66,9367741,237158,22.80533563,18012
DF 79x266,Industrial,Single,7,79,266,21014,123905549,931621,77,10929031,276684,22.80533546,21014
DF 79x304,Industrial,Single,8,79,304,24016,184955221,1216811,88,12490321,316211,22.80533533,24016
DF 79x342,Industrial,Single,9,79,342,27018,263344446,1540026,99,14051612,355737,22.80533604,27018
DF 79x380,Industrial,Single,10,79,380,30020,361240667,1901267,110,15612902,395263,22.80533588,30020
DF 79x418,Industrial,Single,11,79,418,33022,480811327,2300533,121,17174192,434790,22.80533574,33022
DF 79x456,Industrial,Single,12,79,456,36024,624223872,2737824,132,18735482,474316,22.80533563,36024
DF 79x494,Industrial,Single,13,79,494,39026,793645745,3213141,143,20296772,513842,22.80533554,39026
DF 79x532,Industrial,Single,14,79,532,42028,991244389,3726483,154,21858062,553369,22.80533546,42028
DF 79x570,Industrial,Single,15,79,570,45030,1219187250,4277850,165,23419353,592895,22.80533588,45030
DF 79x608,Industrial,Single,16,79,608,48032,1479641771,4867243,176,24980643,632421,22.80533579,48032
DF 79x646,Industrial,Single,17,79,646,51034,1774775395,5494661,186,26541933,671948,22.8053357,51034
DF 79x684,Industrial,Single,18,79,684,54036,2106755568,6160104,197,28103223,711474,22.80533563,54036
DF 79x722,Industrial,Single,19,79,722,57038,2477749733,6863573,208,29664513,751000,22.80533557,57038
DF 79x760,Industrial,Single,20,79,760,60040,2889925333,7605067,219,31225803,790527,22.80533551,60040
DF 79x798,Industrial,Single,21,79,798,63042,3345449814,8384586,230,32787094,830053,22.80533581,63042
DF 79x836,Industrial,Single,22,79,836,66044,3846490619,9202131,241,34348384,869579,22.80533574,66044
DF 79x874,Industrial,Single,23,79,874,69046,4395215191,10057701,252,35909674,909106,22.80533569,69046
DF 79x912,Industrial,Single,24,79,912,72048,4993790976,10951296,263,37470964,948632,22.80533563,72048
DF 79x950,Industrial,Single,25,79,950,75050,5644385417,11882917,274,39032254,988158,22.80533558,75050
DF 79x988,Industrial,Single,26,79,988,78052,6349165957,12852563,285,40593544,1027685,22.80533554,78052
DF 79x1026,Industrial,Single,27,79,1026,81054,7110300042,13860234,296,42154835,1067211,22.80533577,81054
DF 79x1064,Industrial,Single,28,79,1064,84056,7929955115,14905931,307,43716125,1106737,22.80533572,84056
DF 79x1102,Industrial,Single,29,79,1102,87058,8810298619,15989653,318,45277415,1146264,22.80533567,87058
DF 79x1140,Industrial,Single,30,79,1140,90060,9753498000,17111400,329,46838705,1185790,22.80533563,90060
DF 79x1178,Industrial,Single,31,79,1178,93062,10761720701,18271173,340,48399995,1225316,22.80533559,93062
DF 79x1216,Industrial,Single,32,79,1216,96064,11837134165,19468971,351,49961285,1264843,22.80533556,96064
DF 79x1254,Industrial,Single,33,79,1254,99066,12981905838,20704794,362,51522576,1304369,22.80533574,99066
DF 79x1292,Industrial,Single,34,79,1292,102068,14198203163,21978643,373,53083866,1343895,22.8053357,102068
DF 79x1330,Industrial,Single,35,79,1330,105070,15488193583,23290517,384,54645156,1383422,22.80533567,105070
DF 79x1368,Industrial,Single,36,79,1368,108072,16854044544,24640416,395,56206446,1422948,22.80533563,108072
DF 79x1406,Industrial,Single,37,79,1406,111074,18297923489,26028341,406,57767736,1462474,22.8053356,111074
DF 130x152,Industrial,Single,4,130,152,19760,38044587,500587,44,27828667,428133,37.52776772,19760
DF 130x190,Industrial,Single,5,130,190,24700,74305833,782167,55,34785833,535167,37.52776732,24700
DF 130x228,Industrial,Single,6,130,228,29640,128400480,1126320,66,41743000,642200,37.5277675,29640
DF 130x266,Industrial,Single,7,130,266,34580,203895207,1533047,77,48700167,749233,37.52776763,34580
DF 130x304,Industrial,Single,8,130,304,39520,304356693,2002347,88,55657333,856267,37.52776738,39520
DF 130x342,Industrial,Single,9,130,342,44460,433351620,2534220,99,62614500,963300,37.5277675,44460
DF 130x380,Industrial,Single,10,130,380,49400,594446667,3128667,110,69571667,1070333,37.52776759,49400
DF 130x418,Industrial,Single,11,130,418,54340,791208513,3785687,121,76528833,1177367,37.52776742,54340
DF 130x456,Industrial,Single,12,130,456,59280,1027203840,4505280,132,83486000,1284400,37.5277675,59280
DF 130x494,Industrial,Single,13,130,494,64220,1305999327,5287447,143,90443167,1391433,37.52776757,64220
DF 130x532,Industrial,Single,14,130,532,69160,1631161653,6132187,154,97400333,1498467,37.52776743,69160
DF 130x570,Industrial,Single,15,130,570,74100,2006257500,7039500,165,104357500,1605500,37.5277675,74100
DF 130x608,Industrial,Single,16,130,608,79040,2434853547,8009387,176,111314667,1712533,37.52776755,79040
DF 130x646,Industrial,Single,17,130,646,83980,2920516473,9041847,186,118271833,1819567,37.52776744,83980
DF 130x684,Industrial,Single,18,130,684,88920,3466812960,10136880,197,125229000,1926600,37.5277675,88920
DF 130x722,Industrial,Single,19,130,722,93860,4077309687,11294487,208,132186167,2033633,37.52776754,93860
DF 130x760,Industrial,Single,20,130,760,98800,4755573333,12514667,219,139143333,2140667,37.52776745,98800
DF 130x798,Industrial,Single,21,130,798,103740,5505170580,13797420,230,146100500,2247700,37.5277675,103740
DF 130x836,Industrial,Single,22,130,836,108680,6329668107,15142747,241,153057667,2354733,37.52776754,108680
DF 130x874,Industrial,Single,23,130,874,113620,7232632593,16550647,252,160014833,2461767,37.52776746,113620
DF 130x912,Industrial,Single,24,130,912,118560,8217630720,18021120,263,166972000,2568800,37.5277675,118560
DF 130x950,Industrial,Single,25,130,950,123500,9288229167,19554167,274,173929167,2675833,37.52776753,123500
DF 130x988,Industrial,Single,26,130,988,128440,10447994613,21149787,285,180886333,2782867,37.52776746,128440
DF 130x1026,Industrial,Single,27,130,1026,133380,11700493740,22807980,296,187843500,2889900,37.5277675,133380
DF 130x1064,Industrial,Single,28,130,1064,138320,13049293227,24528747,307,194800667,2996933,37.52776753,138320
