Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W610X551,W610X551,551,70300,711,711,348,346,38.6,38.1,19,69.1,69.8,81.8,102,50.8,2.51,14.2,5580,18500,15700,282,483,4380,2790,83.1,83700,49900,55900,336,3420,9310,99.6,643,2370,,2720,1770,2120,508,140,
W,W610X498,W610X498,498,63400,699,698,343,343,35.1,34.9,17.5,63,63.5,75.7,95.3,47.6,2.73,15.6,4950,16700,14200,279,429,3900,2490,82,63300,43200,54500,294,3080,8290,98,635,2320,,2670,1740,2080,508,140,
W,W610X455,W610X455,455,57900,688,689,340,340,32,31.8,15.9,57.9,57.2,70.6,90.5,46,2.94,17.1,4450,15100,12900,277,383,3510,2250,81.3,48700,38100,53600,264,2820,7520,96.8,630,2300,,2640,1720,2060,508,140,
W,W610X415,W610X415,415,52800,678,679,338,337,29.5,30.2,15.9,53.1,52.4,65.8,85.7,46,3.18,18.6,4000,13700,11800,274,343,3160,2030,80.5,37700,33600,52800,237,2560,6820,95.5,625,2280,,2620,1690,2030,508,140,
W,W610X372,W610X372,372,47400,668,670,335,333,26.4,27,14.3,48,47.6,60.7,79.4,44.5,3.49,20.7,3530,12200,10600,272,301,2800,1800,79.8,27700,29000,52000,209,2290,6060,94.2,620,2260,,2590,1670,2010,508,140,
W,W610X341,W610X341,341,43400,660,660,333,333,24.4,23.8,12.7,43.9,44.4,56.6,76.2,42.9,3.79,22.5,3180,11100,9640,272,271,2520,1630,79,21400,25800,51300,187,2080,5510,93.2,617,2260,,2590,1650,1990,508,140,
W,W610X307,W610X307,307,39200,653,654,330,330,22.1,22.2,11.1,39.9,39.7,52.6,73,41.3,4.14,24.8,2840,9930,8700,269,241,2250,1460,78.2,15900,22600,50600,166,1880,4950,91.9,612,2240,,2570,1640,1970,508,140,
W,W610X285,W610X285,285,36500,648,648,330,330,20.6,20.6,11.1,37.1,36.5,49.8,69.9,41.3,4.43,26.6,2610,9160,8050,267,221,2060,1340,78,12800,20500,50400,154,1750,4590,91.4,610,2240,,2570,1630,1960,508,140,
W,W610X262,W610X262,262,33400,640,641,328,327,19.1,19,9.52,34,33.3,46.7,66.7,39.7,4.81,28.7,2360,8370,7370,267,199,1880,1220,77.2,9950,18400,49600,139,1590,4160,90.7,607,2200,,2530,1610,1940,508,140,
W,W610X241,W610X241,241,30800,635,635,330,330,17.9,17.5,9.52,31,31.8,43.7,63.5,39.7,5.31,30.6,2150,7670,6780,264,184,1720,1120,77.5,7700,16800,49900,127,1460,3820,90.7,605,2200,,2530,1600,1930,508,140,
W,W610X217,W610X217,217,27700,627,629,328,327,16.5,15.9,7.94,27.7,27,40.4,60.3,39.7,5.92,33.2,1910,6850,6080,262,163,1530,991,76.5,5580,14700,49100,112,1290,3390,89.7,599,2180,,2510,1580,1910,508,140,
W,W610X195,W610X195,195,24900,622,622,328,327,15.4,15.9,7.94,24.4,23.8,37.1,57.2,38.1,6.7,35.6,1670,6060,5390,259,142,1340,869,75.4,3950,12600,49000,97.8,1140,3020,88.6,597,2170,,2500,1570,1900,508,140,
W,W610X174,W610X174,174,22200,617,616,325,324,14,14.3,7.94,21.6,22.2,34.3,54,38.1,7.53,39.2,1470,5360,4770,257,124,1170,762,74.7,2800,11000,48400,84.9,1000,2670,87.9,597,2160,,2480,1560,1880,508,140,
W,W610X155,W610X155,155,19800,612,610,325,324,12.7,12.7,6.35,19.1,19,31.8,52.4,36.5,8.5,43.1,1290,4740,4230,257,108,1020,667,73.9,1960,9450,48200,74.5,883,2360,86.9,594,2150,,2480,1550,1870,508,140,
W,W610X153,W610X153,153,19500,622,622,229,229,14,14.3,7.94,24.9,25.4,37.6,57.2,38.1,4.59,39.2,1250,4590,4010,254,49.5,680,434,50.5,2940,4460,34100,48.7,798,2280,61,597,1880,,2110,1470,1700,508,140,
W,W610X140,W610X140,140,17900,617,616,230,232,13.1,12.7,6.35,22.2,22.2,35.1,54,36.5,5.18,41.9,1120,4160,3640,251,45.4,615,393,50.3,2190,4030,34300,43.7,718,2060,61,594,1880,,2110,1470,1690,508,140,
W,W610X125,W610X125,125,15900,612,613,229,229,11.9,12.7,6.35,19.6,19,32.3,52.4,36.5,5.86,45.9,986,3670,3210,249,39.3,534,342,49.5,1540,3440,33900,38,629,1820,60.2,592,1870,,2100,1450,1680,508,140,
W,W610X113,W610X113,113,14500,607,606,228,229,11.2,11.1,6.35,17.3,17.5,30,49.2,36.5,6.61,49,874,3280,2880,246,34.3,469,302,48.8,1120,2980,33700,33.2,554,1620,59.2,589,1850,,2080,1440,1670,508,140,
W,W610X101,W610X101,101,13000,602,603,228,229,10.5,11.1,6.35,14.9,14.3,27.7,47.6,36.5,7.66,52,762,2900,2520,243,29.3,401,257,47.5,778,2530,33400,28.3,474,1430,58.4,587,1840,,2070,1430,1660,508,140,
W,W610X92,W610X92,92,11700,602,603,179,178,10.9,11.1,6.35,15,14.3,27.7,38.1,27,5.97,50.1,645,2510,2150,234,14.4,257,161,35.1,712,1240,26300,17.6,369,1230,44.4,587,1700,,1870,1380,1560,527,88.9,
W,W610X82,W610X82,82,10500,599,600,178,178,10,9.52,4.76,12.8,12.7,25.7,36.5,25.4,6.94,54.6,562,2200,1870,231,12.1,218,136,34,491,1040,26100,14.9,316,1080,43.7,587,1690,,1870,1380,1550,527,88.9,
W,W530X409,W530X409,409,52800,612,613,328,327,31,31.8,15.9,55.6,55.6,85.6,87.3,46,2.95,14.2,3200,12300,10500,246,328,3130,2000,78.7,44500,25400,45600,208,2290,6050,93.5,556,2090,,2420,1550,1880,438,140,
W,W530X369,W530X369,369,47600,602,603,325,324,27.9,28.6,14.3,50.5,50.8,80.5,82.6,44.5,3.22,15.8,2840,11000,9440,244,291,2790,1790,78.2,33600,22100,44800,184,2070,5410,92.2,551,2070,,2400,1530,1850,438,140,
W,W530X332,W530X332,332,42900,594,594,323,321,25.4,25.4,12.7,45.5,46,75.4,77.8,42.9,3.55,17.5,2530,9850,8520,243,256,2460,1580,77.2,24800,19300,44300,162,1850,4840,90.7,549,2050,,2380,1510,1830,438,140,
W,W530X300,W530X300,300,38300,584,584,320,321,23.1,23.8,12.7,41.4,41.3,54.1,73,42.9,3.86,20.6,2210,8690,7550,241,226,2180,1410,76.7,17000,16600,43400,144,1670,4330,90.2,544,2060,,2380,1490,1810,438,140,
W,W530X272,W530X272,272,34600,577,578,318,318,21.1,20.6,11.1,37.6,38.1,50.3,69.9,41.3,4.22,22.6,1970,7800,6830,239,201,1950,1270,76.2,12800,14600,42800,128,1500,3880,89.2,538,2040,,2360,1470,1790,438,140,
W,W530X248,W530X248,248,31500,572,572,315,314,19.1,19,9.52,34.5,34.9,47.2,66.7,39.7,4.57,25,1780,7080,6230,238,181,1770,1150,75.9,9820,13000,42300,115,1370,3520,88.4,536,2030,,2340,1460,1770,438,140,
W,W530X219,W530X219,219,27900,561,559,318,318,18.3,19,9.52,29.2,28.6,41.9,61.9,39.7,5.44,26.1,1510,6110,5390,233,157,1520,985,74.9,6410,11000,42300,97.8,1160,3050,87.9,533,2020,,2330,1440,1760,438,140,
W,W530X196,W530X196,196,25000,554,556,315,318,16.5,15.9,7.94,26.4,27,39.1,57.2,39.7,6.01,28.9,1340,5460,4830,232,139,1350,877,74.4,4700,9670,41500,85.7,1030,2690,87.1,528,2000,,2310,1420,1740,438,140,
W,W530X182,W530X182,182,23200,551,549,315,314,15.2,15.9,7.94,24.4,23.8,37.1,57.2,38.1,6.45,31.3,1230,5030,4470,231,127,1240,806,74.2,3740,8780,41500,79.5,962,2510,86.4,526,1990,,2310,1420,1730,438,140,
W,W530X165,W530X165,165,21000,546,546,312,314,14,14.3,7.94,22.2,22.2,35.1,54,38.1,7.05,34.1,1110,4570,4080,230,114,1120,729,73.7,2840,7840,40900,71.2,869,2260,85.6,523,1980,,2290,1400,1720,438,140,
W,W530X150,W530X150,150,19200,544,543,312,311,12.7,12.7,6.35,20.3,20.6,33,52.4,36.5,7.68,37.5,1010,4150,3720,229,103,1010,660,73.4,2170,7040,40800,64.9,796,2060,85.1,523,1980,,2290,1400,1710,438,140,
W,W530X138,W530X138,138,17600,549,549,214,213,14.7,14.3,7.94,23.6,23.8,36.3,41.3,23.8,4.53,32.3,862,3620,3150,221,38.7,569,362,46.7,2510,2670,28100,35.5,618,1790,56.9,526,1690,,1900,1310,1520,467,140,
W,W530X123,W530X123,123,15700,544,543,212,213,13.1,12.7,6.35,21.2,20.6,34,38.1,22.2,5,36.4,762,3210,2800,220,33.9,500,320,46.5,1810,2320,27700,31.2,552,1590,56.1,523,1680,,1890,1300,1510,467,140,
W,W530X109,W530X109,109,13900,538,540,211,210,11.6,11.1,6.35,18.8,19,31.5,36.5,22.2,5.6,41.2,666,2820,2470,219,29.4,436,279,46,1260,1990,27400,27.1,487,1390,55.6,521,1660,,1870,1290,1500,467,140,
W,W530X101,W530X101,101,12900,536,537,210,210,10.9,11.1,6.35,17.4,17.5,30.2,34.9,22.2,6.04,43.6,616,2620,2290,218,26.9,400,257,45.7,1020,1820,27200,24.9,449,1290,55.1,518,1660,,1870,1280,1490,467,140,
W,W530X92,W530X92,92,11800,533,533,209,210,10.2,9.52,4.76,15.6,15.9,28.4,33.3,20.6,6.7,46.9,554,2360,2080,217,23.9,356,229,45,762,1600,27100,22.1,403,1170,54.6,518,1650,,1860,1280,1490,467,140,
W,W530X82,W530X82,82,10500,528,527,209,210,9.53,9.52,4.76,13.3,12.7,25.9,30.2,20.6,7.87,50,475,2060,1800,213,20.1,302,193,43.9,516,1340,26900,18.6,341,1010,53.6,515,1640,,1850,1260,1470,467,140,
W,W530X72,W530X72,72,9100,523,524,207,206,8.89,9.52,4.76,10.9,11.1,23.6,28.6,20.6,9.47,53.6,399,1750,1520,209,16.1,244,156,42.2,334,1060,26500,14.9,277,857,52.1,513,1630,,1830,1250,1460,467,140,
W,W530X85,W530X85,85,10800,536,533,167,165,10.3,9.52,4.76,16.5,15.9,29.2,33.3,20.6,5.04,46.3,487,2110,1820,212,12.7,243,153,34.3,737,857,21600,14.9,336,1040,42.7,521,1530,,1700,1240,1400,467,88.9,
W,W530X74,W530X74,74,9480,528,530,166,165,9.65,9.52,4.76,13.6,14.3,26.4,31.8,20.6,6.1,49.4,410,1800,1550,208,10.4,200,125,33,475,690,21400,12,274,883,41.7,516,1510,,1680,1220,1390,467,88.9,
W,W530X66,W530X66,66,8390,526,524,165,165,8.89,9.52,4.76,11.4,11.1,24.1,28.6,20.6,7.22,53.6,351,1560,1340,205,8.62,167,104,32,320,567,21200,10,229,767,40.6,516,1510,,1670,1220,1380,467,88.9,
W,W460X464,W460X464,464,59100,566,568,305,305,38.6,38.1,19,69.6,69.8,82.3,90.5,39.7,2.19,10.4,2900,12400,10200,221,331,3390,2160,74.9,73300,20500,37900,201,2290,6150,89.7,498,1950,,2250,1440,1740,384,140,
W,W460X421,W460X421,421,53700,556,556,302,302,35.6,34.9,17.5,63.5,63.5,76.2,85.7,38.1,2.38,11.3,2570,11100,9260,219,293,3030,1930,73.9,55800,17700,37200,179,2080,5560,88.1,493,1930,,2230,1410,1720,384,140,
W,W460X384,W460X384,384,49000,546,546,300,298,32.5,31.8,15.9,58.4,58.7,68.6,81,36.5,2.56,12.5,2290,10000,8420,217,261,2720,1750,73.2,42900,15500,36500,160,1900,5010,86.9,488,1910,,2210,1390,1690,384,140,
W,W460X349,W460X349,349,44300,536,533,297,295,29.5,30.2,15.9,53.6,54,63.8,76.2,34.9,2.76,13.8,2040,9000,7640,214,232,2440,1570,72.4,32800,13500,35800,143,1740,4520,85.6,483,1890,,2180,1370,1670,384,140,
W,W460X315,W460X315,315,40200,526,524,295,292,26.9,27,14.3,48.5,49.2,58.7,71.4,34.9,3.02,15.1,1800,8030,6870,212,205,2160,1400,71.6,24400,11700,35200,126,1550,4030,84.3,478,1860,,2160,1350,1640,384,140,
W,W460X286,W460X286,286,36300,518,518,292,292,24.4,23.8,12.7,44.5,44.4,54.6,66.7,33.3,3.27,16.7,1610,7240,6230,210,183,1950,1260,70.9,18600,10200,34600,112,1410,3640,83.3,475,1850,,2140,1330,1620,384,140,
W,W460X260,W460X260,260,33200,508,508,290,289,22.6,22.2,11.1,40.4,39.7,50.5,61.9,31.8,3.58,18,1440,6520,5640,208,163,1740,1130,70.1,14100,8940,33900,99.1,1260,3240,82.3,467,1820,,2110,1310,1600,384,140,
W,W460X235,W460X235,235,29900,500,502,287,286,20.6,20.6,11.1,36.6,36.5,46.7,60.3,31.8,3.92,19.8,1270,5830,5080,206,144,1550,1010,69.6,10500,7790,33300,87.4,1130,2900,81.3,465,1800,,2090,1290,1570,384,140,
W,W460X213,W460X213,213,27100,495,495,284,286,18.5,19,9.52,33.5,33.3,43.7,55.6,30.2,4.25,22,1140,5280,4620,205,129,1400,909,69.1,7990,6900,32800,78.3,1030,2620,80.5,462,1790,,2070,1280,1560,384,140,
W,W460X193,W460X193,193,24700,490,489,284,283,17,17.5,9.52,30.5,30.2,40.6,52.4,30.2,4.65,23.9,1020,4750,4200,204,116,1260,818,68.6,6040,6100,32700,70.8,937,2390,79.5,460,1780,,2070,1260,1550,384,140,
W,W460X177,W460X177,177,22600,483,483,287,286,16.6,15.9,7.94,26.9,27,37.1,49.2,30.2,5.31,24.5,912,4290,3790,201,105,1130,736,68.3,4410,5450,32700,63.3,829,2150,79.5,455,1780,,2060,1250,1540,384,140,
W,W460X158,W460X158,158,20100,475,476,284,286,15,14.3,7.94,23.9,23.8,34,46,28.6,5.96,27.2,795,3770,3340,199,91.6,991,646,67.6,3110,4670,32100,54.5,726,1870,78.7,452,1760,,2040,1230,1520,384,140,
W,W460X144,W460X144,144,18400,472,473,282,283,13.6,14.3,7.94,22.1,22.2,32.3,44.5,28.6,6.41,30,728,3460,3080,199,83.7,906,592,67.3,2440,4240,31700,49.5,667,1720,78.2,450,1740,,2030,1230,1510,384,140,
W,W460X128,W460X128,128,16300,467,467,282,283,12.2,12.7,6.35,19.6,19,29.7,41.3,27,7.2,33.4,637,3050,2720,197,72.8,793,518,66.8,1710,3650,31500,43.7,590,1510,77.5,447,1740,,2020,1220,1500,384,140,
W,W460X113,W460X113,113,14400,462,464,279,279,10.8,11.1,6.35,17.3,17.5,27.4,39.7,27,8.11,37.8,554,2670,2390,196,63.3,692,452,66.3,1180,3140,31100,37.5,516,1320,76.7,444,1720,,2000,1200,1480,384,140,
W,W460X106,W460X106,106,13500,470,470,194,194,12.6,12.7,6.35,20.6,20.6,30.7,38.1,22.2,4.71,32.4,487,2390,2080,191,25.1,405,259,43.2,1450,1260,21800,21.8,420,1190,52.1,450,1480,,1670,1130,1330,394,88.9,
W,W460X97,W460X97,97,12300,467,467,193,194,11.4,11.1,6.35,19.1,19,29.2,36.5,22.2,5.06,35.7,445,2180,1920,190,22.8,369,236,42.9,1140,1140,21600,19.9,387,1090,51.6,450,1470,,1670,1130,1320,394,88.9,
W,W460X89,W460X89,89,11400,462,464,192,190,10.5,11.1,6.35,17.7,17.5,27.9,34.9,20.6,5.44,38.7,410,2020,1770,190,20.9,338,218,42.7,903,1030,21400,18.1,356,993,51.3,444,1460,,1650,1120,1310,394,88.9,
W,W460X82,W460X82,82,10500,460,460,191,190,9.91,9.52,4.76,16,15.9,26.2,33.3,20.6,5.98,41.1,370,1840,1610,188,18.7,303,195,42.4,691,921,21200,16.2,321,906,50.8,444,1460,,1650,1110,1300,394,88.9,
W,W460X74,W460X74,74,9480,457,457,191,190,9.02,9.52,4.76,14.5,14.3,24.7,31.8,20.6,6.57,45.2,333,1660,1460,187,16.7,272,175,41.9,516,816,21100,14.5,290,818,50.3,442,1450,,1640,1100,1300,394,88.9,
W,W460X68,W460X68,68,8710,460,457,154,152,9.14,9.52,4.76,15.4,15.9,25.7,31.8,20.6,5.01,44.6,296,1490,1290,184,9.37,192,122,32.8,508,462,17100,10.1,247,736,40.1,444,1340,,1500,1070,1230,394,88.9,
W,W460X60,W460X60,60,7610,455,454,153,152,8,7.94,4.76,13.3,12.7,23.5,30.2,20.6,5.73,50.9,255,1280,1120,183,7.95,164,104,32.3,337,387,16800,8.62,213,633,39.6,442,1340,,1490,1060,1210,394,88.9,
W,W460X52,W460X52,52,6650,450,451,152,152,7.62,7.94,4.76,10.8,11.1,21,28.6,19.1,7.06,53.5,212,1090,944,179,6.37,132,83.9,31,211,306,16700,6.87,172,536,38.4,439,1320,,1480,1050,1200,394,88.9,
W,W410X149,W410X149,149,19000,432,432,264,264,14.9,14.3,7.94,25,25.4,35.3,47.6,28.6,5.29,24.3,620,3240,2870,180,77.4,900,585,63.8,3220,3200,26800,44.5,634,1610,74.2,406,1610,,1870,1130,1390,337,140,
W,W410X132,W410X132,132,16900,427,425,264,264,13.3,12.7,6.35,22.2,22.2,32.5,44.5,27,5.92,27,541,2870,2540,179,67.8,788,515,63.2,2270,2740,26700,39.2,564,1430,73.2,404,1600,,1870,1120,1380,337,140,
W,W410X114,W410X114,114,14600,419,419,262,260,11.6,11.1,6.35,19.3,19,29.5,41.3,27,6.77,31.2,462,2460,2200,178,57.4,674,441,62.7,1490,2310,26100,33,482,1220,72.4,399,1580,,1840,1100,1360,337,140,
W,W410X100,W410X100,100,12600,414,416,259,260,10,9.52,4.76,16.9,17.5,27.2,39.7,25.4,7.7,35.9,397,2130,1920,177,49.5,582,380,62.5,995,1960,25700,28.1,418,1050,71.6,396,1570,,1830,1090,1350,337,140,
W,W410X85,W410X85,85,10800,417,416,181,181,10.9,11.1,6.35,18.2,17.5,28.4,34.9,22.2,4.98,33,316,1720,1510,171,17.9,310,198,40.6,924,714,18000,14.8,308,852,48.8,399,1340,,1520,1010,1190,346,88.9,
W,W410X75,W410X75,75,9480,414,413,180,181,9.65,9.52,4.76,16,15.9,26.2,33.3,20.6,5.61,37.4,274,1510,1330,170,15.5,267,172,40.4,633,610,17900,12.8,270,747,48,399,1330,,1510,1010,1190,346,88.9,
W,W410X67,W410X67,67,8580,409,410,179,178,8.76,9.52,4.76,14.4,14.3,24.6,31.8,20.6,6.23,41.1,244,1350,1190,169,13.7,238,153,39.9,462,534,17600,11.3,241,665,47.5,394,1320,,1500,996,1180,346,88.9,
W,W410X60,W410X60,60,7610,406,406,178,178,7.75,7.94,4.76,12.8,12.7,23,30.2,20.6,6.93,46.5,216,1200,1060,168,12,208,135,39.9,330,465,17500,9.99,215,590,47.2,394,1310,,1490,991,1170,346,88.9,
W,W410X53,W410X53,53,6840,404,403,178,178,7.49,7.94,4.76,10.9,11.1,21.1,28.6,19.1,8.12,48.1,186,1050,926,165,10.2,177,115,38.6,227,392,17400,8.45,182,518,46.5,394,1310,,1490,986,1160,346,88.9,
W,W410X46.1,W410X46.1,46.1,5890,404,403,140,140,6.99,6.35,3.18,11.2,11.1,21.4,28.6,19.1,6.28,51.6,156,885,773,163,5.16,115,73.6,29.7,192,198,13800,5.41,147,436,36.1,394,1200,,1340,947,1090,346,88.9,
W,W410X38.8,W410X38.8,38.8,4950,399,400,140,140,6.35,6.35,3.18,8.76,9.52,19,27,19.1,7.97,56.8,125,724,629,159,3.99,89.8,57.2,28.4,109,152,13600,4.16,114,354,35.1,391,1190,,1330,937,1080,346,88.9,
W,W360X1299,W360X1299,1300,166000,599,600,478,476,100,100,50.8,140,140,155,157,65.1,1.71,2.89,7530,33300,25100,213,2570,16700,10800,124,945000,136000,54800,916,6060,16600,153,460,2420,,2900,1680,2150,286,216,76.2
W,W360X1202,W360X1202,1200,154000,579,578,472,473,95,95.3,47.6,130,130,145,146,63.5,1.82,3.04,6620,30000,22800,208,2310,15200,9780,123,766000,117000,53000,816,5510,15000,151,450,2370,,2840,1630,2100,286,216,76.2
W,W360X1086,W360X1086,1090,139000,569,568,455,454,78,77.8,39.7,125,125,140,157,69.9,1.82,3.71,5950,27200,21000,208,1960,13400,8640,119,604000,97200,50500,716,5210,13600,144,444,2310,,2770,1590,2050,254,191,76.2
W,W360X990,W360X990,990,126000,549,549,450,448,71.9,71.4,36.5,115,114,130,148,66.7,1.95,4.03,5160,24300,18800,203,1740,12000,7730,117,466000,81900,48800,629,4700,12100,141,434,2270,,2720,1550,2000,254,191,76.2
W,W360X900,W360X900,900,115000,531,530,442,441,66,66.7,33.3,106,106,121,138,63.5,2.09,4.39,4500,21600,17000,198,1530,10700,6930,116,362000,69300,47000,549,4230,10800,138,424,2230,,2670,1500,1950,254,191,76.2
W,W360X818,W360X818,818,105000,513,514,437,438,60.5,60.3,30.2,97,96.8,112,130,60.3,2.25,4.79,3930,19300,15300,194,1350,9550,6190,114,278000,58800,45400,483,3800,9590,136,417,2180,,2620,1460,1900,254,191,76.2
W,W360X744,W360X744,744,94800,498,498,432,432,55.6,55.6,28.6,88.9,88.9,104,122,58.7,2.43,5.21,3420,17200,13700,190,1200,8550,5560,113,214000,50200,44100,425,3420,8550,134,409,2160,,2590,1430,1860,254,191,76.2
W,W360X677,W360X677,677,86500,483,483,427,429,51.3,50.8,25.4,81.5,81,96.8,114,57.2,2.62,5.66,2990,15300,12400,186,1070,7670,4980,111,164000,43000,42800,372,3060,7640,131,401,2110,,2540,1390,1820,254,191,76.2
W,W360X634,W360X634,634,80600,475,473,424,425,47.8,47.6,23.8,77.2,77.8,92.2,110,54,2.75,6.08,2750,14200,11600,184,982,7110,4640,110,138000,38700,42200,345,2880,7130,130,399,2100,,2520,1370,1800,254,191,76.2
W,W360X592,W360X592,592,75500,465,464,422,422,45,44.4,22.2,72.4,73,87.4,105,54,2.92,6.44,2500,13100,10700,182,903,6590,4290,109,114000,34600,41400,316,2670,6570,128,394,2080,,2500,1350,1770,254,191,76.2
W,W360X551,W360X551,551,70300,455,454,419,419,42.2,42.9,20.6,67.6,68.3,82.8,100,52.4,3.1,6.89,2260,12100,9950,180,828,6060,3950,108,92400,31200,40600,287,2460,6010,127,386,2060,,2480,1330,1750,254,191,76.2
W,W360X509,W360X509,509,65200,445,444,417,416,39.1,39.7,20.6,62.7,63.5,78,95.3,50.8,3.31,7.41,2040,11000,9140,177,753,5540,3620,108,74100,27700,39700,260,2260,5490,126,381,2030,,2450,1310,1720,254,191,76.2
W,W360X463,W360X463,463,59000,434,435,411,413,35.8,36.5,19,57.4,57.2,72.6,90.5,49.2,3.59,8.09,1800,9880,8290,175,670,4980,3260,107,56600,23900,38800,229,2030,4920,124,376,2010,,2420,1280,1690,254,191,76.2
W,W360X421,W360X421,421,53700,424,425,409,410,32.8,33.3,17.5,52.6,52.4,67.8,85.7,47.6,3.89,8.84,1600,8880,7520,172,599,4490,2930,106,43300,20900,38000,204,1840,4410,122,371,1980,,2390,1260,1670,254,191,76.2
W,W360X382,W360X382,382,48800,417,416,406,406,30,30.2,15.9,48,47.6,63.2,81,46,4.23,9.71,1420,7980,6800,170,537,4030,2640,105,32900,18200,37400,183,1670,3980,121,368,1970,,2370,1240,1650,254,191,76.2
W,W360X347,W360X347,347,44200,406,406,404,403,27.2,27,14.3,43.7,44.4,58.9,76.2,44.5,4.62,10.7,1250,7140,6150,168,479,3620,2380,104,24800,15800,36600,161,1490,3540,119,363,1940,,2350,1220,1620,254,191,76.2
W,W360X314,W360X314,314,40000,399,400,401,400,24.9,25.4,12.7,39.6,39.7,54.9,73,42.9,5.06,11.6,1110,6390,5540,166,429,3240,2130,103,18600,13800,36100,143,1340,3180,118,358,1930,,2330,1200,1600,254,191,76.2
W,W360X287,W360X287,287,36600,394,394,399,400,22.6,22.2,11.1,36.6,36.5,51.8,69.9,42.9,5.45,12.8,999,5820,5080,165,388,2950,1950,103,14500,12300,35600,130,1230,2900,117,358,1910,,2310,1190,1580,254,191,76.2
W,W360X262,W360X262,262,33400,386,387,399,397,21.1,20.6,11.1,33.3,33.3,48.5,66.7,41.3,5.97,13.7,891,5240,4600,163,349,2670,1750,102,11000,10900,35200,117,1110,2610,116,353,1900,,2300,1170,1570,254,191,76.2
W,W360X237,W360X237,237,30100,381,381,396,397,18.9,19,9.52,30.2,30.2,45.5,63.5,39.7,6.54,15.3,791,4700,4160,162,311,2390,1580,102,8200,9560,34800,104,1000,2340,115,351,1890,,2280,1160,1550,254,191,76.2
W,W360X216,W360X216,216,27500,376,375,394,394,17.3,17.5,9.52,27.7,27,42.9,60.3,39.7,7.11,16.8,712,4260,3800,161,282,2180,1430,101,6330,8510,34300,93.2,908,2110,114,348,1870,,2270,1150,1540,254,191,76.2
W,W360X196,W360X196,196,25000,373,371,373,375,16.4,15.9,7.94,26.2,25.4,41.4,58.7,39.7,7.15,17.7,637,3830,3420,160,228,1850,1220,95.5,5120,6850,32400,79.1,811,1900,107,348,1810,,2180,1120,1490,254,140,
W,W360X179,W360X179,179,22800,368,368,373,371,15,14.3,7.94,23.9,23.8,39.1,57.2,38.1,7.8,19.3,574,3470,3110,158,206,1670,1110,95,3900,6100,32100,71.6,737,1720,107,345,1800,,2170,1110,1480,254,140,
W,W360X162,W360X162,162,20600,363,365,371,371,13.3,12.7,6.35,21.8,22.2,37.1,55.6,38.1,8.49,21.7,516,3150,2830,158,186,1520,1000,94.7,2960,5420,31700,64.1,667,1550,106,340,1790,,2160,1100,1470,254,140,
W,W360X147,W360X147,147,18800,361,359,371,371,12.3,12.7,6.35,19.8,19,35.1,52.4,36.5,9.34,23.5,462,2830,2570,157,167,1370,905,94.2,2240,4830,31600,57.9,605,1410,105,340,1780,,2150,1090,1460,254,140,
W,W360X134,W360X134,134,17100,356,356,368,368,11.2,11.1,6.35,18,17.5,33.3,50.8,36.5,10.2,25.9,416,2570,2340,156,151,1240,818,94,1690,4300,31100,51.6,544,1260,104,338,1770,,2140,1080,1450,254,140,
W,W360X122,W360X122,122,15500,363,362,257,257,13,12.7,6.35,21.7,22.2,36.8,42.9,27,5.92,22.4,367,2280,2020,154,61.6,734,480,63,2110,1800,21900,30.5,452,1120,72.4,340,1450,,1700,983,1240,276,140,
W,W360X110,W360X110,110,14100,361,359,257,257,11.4,11.1,6.35,19.9,20.6,35.1,41.3,27,6.41,25.4,331,2060,1840,153,55.8,664,436,63,1610,1610,21900,27.9,416,1020,71.9,340,1440,,1700,978,1230,276,140,
W,W360X101,W360X101,101,12900,356,356,254,254,10.5,11.1,6.35,18.3,19,33.3,39.7,27,6.97,27.5,301,1880,1690,153,50.4,605,397,62.5,1250,1440,21400,24.9,375,918,71.1,338,1430,,1680,965,1220,276,140,
W,W360X91,W360X91,91,11500,353,352,254,254,9.53,9.52,4.76,16.4,15.9,31.5,38.1,25.4,7.75,30.4,266,1670,1510,152,44.5,537,352,62.2,912,1260,21400,22.2,338,823,70.6,338,1420,,1680,960,1210,276,140,
W,W360X79,W360X79,79,10100,353,352,205,203,9.4,9.52,4.76,16.8,17.5,31.8,38.1,25.4,6.11,30.9,225,1430,1270,150,24,361,234,48.8,807,682,17200,14.8,275,696,56.4,335,1280,,1480,912,1120,276,140,
W,W360X72,W360X72,72,9100,351,349,204,203,8.64,7.94,4.76,15.1,15.9,30.2,36.5,25.4,6.75,33.6,201,1280,1150,149,21.4,321,210,48.5,604,602,17100,13.2,247,628,55.9,335,1270,,1470,904,1110,276,140,
W,W360X64,W360X64,64,8130,348,346,203,203,7.75,7.94,4.76,13.5,12.7,28.4,34.9,25.4,7.54,37.4,178,1140,1030,148,18.8,283,185,48,437,524,17000,11.6,220,557,55.4,335,1260,,1470,899,1100,276,140,
