Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PA2,PB,PC,PD,T,WGi,WGo
W,W1000X371,W1000X371,371,47400,1000,1000,401,400,19.1,19,9.52,36.1,36.5,66,68.3,39.7,5.55,45.6,8160,18400,16300,414,385,2980,1930,90.2,15900,89700,96800,350,3330,9030,107,965,3100,,3510,2400,2790,864,191,76.2
W,W1000X321,W1000X321,321,41000,991,991,401,400,16.5,15.9,7.94,31,31.8,61,63.5,39.7,6.45,52.6,6950,15800,14100,411,334,2560,1660,89.9,10300,76300,96100,299,2870,7750,106,960,3100,,3510,2380,2790,864,191,76.2
W,W1000X296,W1000X296,296,37900,983,981,401,400,16.5,15.9,7.94,27.2,27,57.2,58.7,39.7,7.39,52.6,6200,14200,12600,406,289,2250,1450,87.6,7620,66100,96100,261,2510,7000,105,955,3070,,3480,2370,2770,864,191,76.2
W,W1000X584,W1000X584,584,74800,1060,1060,315,314,36.1,36.5,19,64,63.5,94,96.8,49.2,2.45,24.1,12400,28000,23600,409,334,3470,2130,67.1,71600,82200,78100,394,4420,13900,83.8,993,2950,,3250,2430,2740,864,191,
W,W1000X494,W1000X494,494,63000,1040,1040,310,308,31,31.8,15.9,54.1,54,84.1,85.7,46,2.86,28,10300,23400,19800,404,268,2820,1740,65.3,43700,64700,76100,319,3700,11600,81.5,983,2900,,3200,2380,2690,864,191,
W,W1000X486,W1000X486,486,61900,1040,1040,307,308,30,30.2,15.9,54.1,54,84.1,85.7,46,2.85,29,10200,23100,19700,406,266,2790,1720,65.5,42900,64200,75500,314,3690,11400,81.5,983,2900,,3200,2380,2690,864,191,
W,W1000X438,W1000X438,438,55600,1030,1030,305,305,26.9,27,14.3,49,49.2,79,81,44.5,3.11,32.2,9120,20800,17700,404,234,2460,1530,64.8,31900,55900,74200,278,3330,10200,80.3,978,2870,,3180,2360,2670,864,191,
W,W1000X415,W1000X415,415,53100,1020,1020,305,305,26.2,25.4,12.7,46,46,75.9,77.8,44.5,3.31,33.3,8530,19500,16700,401,217,2290,1430,64,27100,51600,74200,259,3110,9620,79.5,975,2840,,3150,2350,2640,864,191,
W,W1000X393,W1000X393,393,49900,1020,1020,302,302,24.4,23.8,12.7,43.9,44.4,73.9,76.2,42.9,3.45,35.6,8070,18500,15900,401,205,2160,1350,64,23400,48600,73500,245,2980,9090,79.2,973,2840,,3150,2330,2640,864,191,
W,W1000X350,W1000X350,350,44600,1010,1010,302,302,21.1,20.6,11.1,40.1,39.7,70.1,73,41.3,3.77,41.2,7240,16600,14300,404,185,1930,1220,64.5,17200,43200,72900,221,2720,8110,79,968,2820,,3120,2320,2620,864,191,
W,W1000X314,W1000X314,314,40100,1000,1000,300,298,19.1,19,9.52,36.1,36.5,66,68.3,39.7,4.17,45.6,6450,14800,12900,401,162,1720,1080,63.8,12700,37900,72300,195,2430,7240,78,965,2790,,3100,2300,2590,864,191,
W,W1000X272,W1000X272,272,34400,991,991,300,298,16.5,15.9,7.94,30.5,30.2,60.5,63.5,39.7,4.92,52.6,5490,12700,11100,399,138,1450,918,63.2,8030,31700,72300,164,2060,6160,77.2,960,2790,,3100,2280,2590,864,191,
W,W1000X249,W1000X249,249,31800,980,981,300,298,16.5,15.9,7.94,26.2,25.4,56.1,58.7,39.7,5.76,52.6,4830,11400,9830,389,118,1250,785,61,5830,26800,71600,140,1750,5510,75.7,955,2770,,3070,2260,2570,864,191,
W,W1000X222,W1000X222,222,28300,970,972,300,298,16,15.9,7.94,21.1,20.6,51.1,54,38.1,7.11,54.3,4080,9800,8410,381,95.3,1020,636,58.2,3900,21500,71000,112,1420,4720,73.4,950,2740,,3050,2240,2540,864,191,
W,W920X1377,W920X1377,1380,175000,1090,1100,472,473,76.7,76.2,38.1,115,114,134,137,58.7,2.05,10.8,30400,67700,55600,417,2060,14100,8700,108,595000,494000,115000,1570,11200,33800,135,980,3400,,3890,2670,3150,822,191,76.2
W,W920X1269,W920X1269,1270,162000,1090,1100,462,464,64,63.5,31.8,115,114,134,137,52.4,2.01,12.9,29100,64200,53300,424,1910,13200,8280,109,516000,459000,113000,1510,11200,32000,133,980,3430,,3890,2640,3100,822,191,76.2
W,W920X1194,W920X1194,1190,152000,1080,1080,457,457,60.5,60.3,30.2,109,110,128,130,50.8,2.1,13.7,27000,60000,49800,422,1750,12200,7670,107,437000,414000,111000,1390,10500,29800,131,973,3380,,3840,2620,3070,822,191,76.2
W,W920X1077,W920X1077,1080,137000,1060,1060,452,451,55.1,55.6,28.6,99.1,98.4,118,119,47.6,2.28,15,23800,53600,44900,417,1540,10800,6820,106,327000,357000,109000,1220,9470,26700,129,963,3330,,3780,2570,3020,822,191,76.2
W,W920X970,W920X970,970,124000,1040,1040,447,448,50,50.8,25.4,89.9,90.5,114,122,55.6,2.48,16.3,21100,47700,40300,411,1340,9520,6010,104,247000,303000,106000,1070,8490,23800,126,955,3280,,3730,2530,2970,797,191,76.2
W,W920X787,W920X787,787,101000,1010,1010,437,438,40.9,41.3,20.6,73.9,74.6,98,106,50.8,2.96,19.9,16500,38200,32600,406,1040,7440,4740,102,136000,227000,103000,828,6870,19000,122,937,3230,,3660,2460,2900,797,191,76.2
W,W920X725,W920X725,725,92300,998,1000,434,435,38.1,38.1,19,68.1,68.3,92.2,102,47.6,3.19,21.4,15000,34900,30000,401,937,6750,4310,101,107000,202000,101000,749,6280,17400,120,930,3180,,3610,2430,2870,797,191,76.2
