Type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,Ht,h,OD,B,b,tnom,tdes,b/tdes,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS,HSS139.7X139.7X9.5,HSS139.7X139.7X9.5,37,4440,140,113,,140,113,9.53,8.86,12.8,12.8,,12.4,215,177,52.8,12.4,215,177,52.8,20400,302
HSS,HSS139.7X139.7X7.9,HSS139.7X139.7X7.9,31.5,3770,140,118,,140,118,7.94,7.39,15.9,15.9,,10.8,185,155,53.6,10.8,185,155,53.6,17600,257
HSS,HSS139.7X139.7X6.4,HSS139.7X139.7X6.4,25.7,3080,140,122,,140,122,6.35,5.92,20.6,20.6,,9.03,153,129,54.1,9.03,153,129,54.1,14500,211
HSS,HSS139.7X139.7X4.8,HSS139.7X139.7X4.8,19.7,2340,140,126,,140,126,4.76,4.42,28.6,28.6,,7.08,118,101,54.9,7.08,118,101,54.9,11100,161
HSS,HSS139.7X139.7X3.2,HSS139.7X139.7X3.2,13.4,1590,140,131,,140,131,3.18,2.95,44.4,44.4,,4.91,81.1,70.5,55.6,4.91,81.1,70.5,55.6,7620,110
HSS,HSS127X127X12.7,HSS127X127X12.7,42.1,5080,127,91.4,,127,91.4,12.7,11.8,7.75,7.75,,10.8,215,170,46.2,10.8,215,170,46.2,18600,306
HSS,HSS127X127X9.5,HSS127X127X9.5,33.2,3990,127,100,,127,100,9.53,8.86,11.3,11.3,,9.03,174,142,47.5,9.03,174,142,47.5,15000,244
HSS,HSS127X127X7.9,HSS127X127X7.9,28.3,3390,127,105,,127,105,7.94,7.39,14.2,14.2,,7.91,150,125,48.3,7.91,150,125,48.3,13000,210
HSS,HSS127X127X6.4,HSS127X127X6.4,23.2,2770,127,109,,127,109,6.35,5.92,18.5,18.5,,6.66,125,105,49,6.66,125,105,49,10700,172
HSS,HSS127X127X4.8,HSS127X127X4.8,17.8,2120,127,114,,127,114,4.76,4.42,25.7,25.7,,5.24,96.5,82.4,49.8,5.24,96.5,82.4,49.8,8280,132
HSS,HSS127X127X3.2,HSS127X127X3.2,12.1,1440,127,118,,127,118,3.18,2.95,40.1,40.1,,3.66,66.7,57.7,50.5,3.66,66.7,57.7,50.5,5700,90.6
HSS,HSS127X101.6X12.7,HSS127X101.6X12.7,37.1,4480,127,91.4,,102,66,12.7,11.8,5.6,7.75,,8.82,179,139,44.5,6.2,153,122,37.1,12600,238
HSS,HSS127X101.6X9.5,HSS127X101.6X9.5,29.4,3540,127,100,,102,74.9,9.53,8.86,8.46,11.3,,7.45,147,117,46,5.24,126,103,38.6,10400,192
HSS,HSS127X101.6X7.9,HSS127X101.6X7.9,25.2,3020,127,105,,102,79.5,7.94,7.39,10.7,14.2,,6.58,128,104,46.7,4.62,109,91.3,39.1,9030,166
HSS,HSS127X101.6X6.4,HSS127X101.6X6.4,20.7,2480,127,109,,102,83.8,6.35,5.92,14.2,18.5,,5.58,106,87.7,47.5,3.94,91.3,77.5,39.9,7490,136
HSS,HSS127X101.6X4.8,HSS127X101.6X4.8,15.9,1890,127,114,,102,88.4,4.76,4.42,20,25.7,,4.41,82.8,69.2,48.3,3.11,71.1,61.3,40.6,5830,105
HSS,HSS127X101.6X3.2,HSS127X101.6X3.2,10.9,1290,127,118,,102,92.7,3.18,2.95,31.5,40.1,,3.09,57.4,48.7,49,2.19,49.3,43.3,41.1,4020,71.9
HSS,HSS127X76.2X12.7,HSS127X76.2X12.7,32,3880,127,91.4,,76.2,40.6,12.7,11.8,3.45,7.75,,6.83,145,108,41.9,2.99,100,78.3,27.7,7330,169
HSS,HSS127X76.2X9.5,HSS127X76.2X9.5,25.6,3080,127,100,,76.2,49.5,9.53,8.86,5.6,11.3,,5.87,120,92.6,43.7,2.6,83.6,68.2,29,6200,138
HSS,HSS127X76.2X7.9,HSS127X76.2X7.9,22,2650,127,105,,76.2,54.1,7.94,7.39,7.31,14.2,,5.24,105,82.4,44.5,2.33,73.4,61.1,29.7,5450,120
HSS,HSS127X76.2X6.4,HSS127X76.2X6.4,18.1,2170,127,109,,76.2,58.4,6.35,5.92,9.88,18.5,,4.45,88.2,70.3,45.2,2,61.8,52.6,30.2,4580,100
