type,EDI_Std_Nomenclature,d,bf,tw,tf,ho,r1,r2,dclear,k,k1,A,Ix,Iy,Ip,rx,ry,rp,Sx,Sy,Avx,Avy,J,Cw,Sw1,Zx,Zy,ZJ,Zxweb,Zyflange,W,Am
W,W840x359,868,403,21.1,35.6,796.8,31.4,17.8,734,67,41,45700,5920000000,389000000,6309000000,359,92.1,370.6,13600000,1930000,25196,16817,15100000,6.74E+13,3.01E+08,1.54E+07,2.98E+06,1.20E+09,3.35E+06,2.89E+06,358.7,3.31
W,W840x329,862,401,19.7,32.4,797.2,31.6,16.2,734,64,40,41900,5360000000,349000000,5709000000,357,91.1,368.4,12400000,1740000,22751,15553,11600000,6.00E+13,2.70E+08,1.40E+07,2.69E+06,1.08E+09,3.13E+06,2.60E+06,328.9,3.29
W,W840x299,855,400,18.2,29.2,796.6,31.8,14.6,733,61,39,38100,4800000000,312000000,5112000000,355,90.4,366.3,11200000,1560000,20342,14180,8660000,5.32E+13,2.41E+08,1.27E+07,2.41E+06,9.65E+08,2.89E+06,2.34E+06,299.1,3.27
W,W840x251,859,292,17,31,797,32,15.5,733,63,39,31900,3860000000,129000000,3989000000,348,63.6,353.8,9000000,884000,16059,13303,7350000,2.21E+13,1.37E+08,1.03E+07,1.38E+06,5.47E+08,2.70E+06,1.32E+06,250.4,2.85
W,W840x226,851,294,16.1,26.8,797.4,31.2,13.4,735,58,38,28800,3400000000,114000000,3514000000,343,62.8,348.7,7990000,774000,13905,12470,5140000,1.93E+13,1.19E+08,9.16E+06,1.21E+06,4.77E+08,2.56E+06,1.16E+06,226.1,2.85
W,W840x210,846,293,15.4,24.4,797.2,31.6,12.2,734,56,38,26800,3110000000,103000000,3213000000,340,61.8,345.6,7340000,700000,12622,11805,4050000,1.73E+13,1.08E+08,8.43E+06,1.10E+06,4.30E+08,2.45E+06,1.05E+06,210.4,2.83
W,W840x193,840,292,14.7,21.7,796.6,31.3,10.8,734,53,37,24700,2780000000,90300000,2870300000,336,60.5,341.4,6630000,618000,11040,11078,3050000,1.51E+13,9.46E+07,7.62E+06,9.71E+05,3.79E+08,2.33E+06,9.25E+05,193.9,2.82
W,W840x176,835,292,14,18.8,797.4,31.2,9.4,735,50,37,22400,2460000000,78200000,2538200000,331,59.1,336.2,5900000,536000,9501,10396,2220000,1.30E+13,8.18E+07,6.81E+06,8.44E+05,3.27E+08,2.23E+06,8.01E+05,175.8,2.81
W,W760x582,843,396,34.5,62,719,32,31,655,94,47,74200,8620000000,644000000,9264000000,341,93.2,353.5,20400000,3250000,44957,26476,72200000,9.83E+13,4.75E+08,2.38E+07,5.08E+06,1.90E+09,4.46E+06,4.86E+06,582.5,3.2
W,W760x531,833,393,31.5,56.9,719.2,31.1,28.4,657,88,46,67600,7770000000,578000000,8348000000,339,92.4,351.4,18600000,2940000,40704,23954,55600000,8.70E+13,4.26E+08,2.16E+07,4.58E+06,1.71E+09,4.07E+06,4.39E+06,530.7,3.18
W,W760x484,823,390,29,52.1,718.8,31.9,26.1,655,84,45,61700,6990000000,517000000,7507000000,336,91.4,348.2,17000000,2650000,36728,21768,42800000,7.68E+13,3.82E+08,1.95E+07,4.12E+06,1.53E+09,3.75E+06,3.96E+06,484.3,3.15
W,W760x434,813,387,25.9,47,719,32,23.5,655,79,43,55300,6190000000,455000000,6645000000,334,90.7,346.1,15200000,2350000,32560,19218,31300000,6.68E+13,3.37E+08,1.74E+07,3.65E+06,1.35E+09,3.35E+06,3.52E+06,434.1,3.12
W,W760x389,803,385,23.6,41.9,719.2,31.1,20.9,657,73,42,49500,5450000000,399000000,5849000000,332,89.8,343.9,13600000,2070000,28631,17306,22500000,5.78E+13,2.95E+08,1.55E+07,3.21E+06,1.18E+09,3.05E+06,3.11E+06,388.6,3.1
W,W760x350,795,382,21.1,38.1,718.8,31.9,19.1,655,70,41,44500,4870000000,355000000,5225000000,330,89.1,341.8,12200000,1860000,25790,15312,16800000,5.08E+13,2.63E+08,1.39E+07,2.87E+06,1.05E+09,2.73E+06,2.78E+06,349.3,3.08
W,W760x314,786,384,19.7,33.4,719.2,31.6,16.7,656,65,40,40000,4290000000,316000000,4606000000,327,88.7,338.8,10900000,1640000,22554,14107,11800000,4.47E+13,2.32E+08,1.23E+07,2.54E+06,9.27E+08,2.55E+06,2.46E+06,314,3.07
W,W760x284,779,382,18,30.1,718.8,31.9,15.1,655,62,39,36200,3830000000,280000000,4110000000,325,87.9,336.7,9820000,1470000,20065,12758,8750000,3.93E+13,2.06E+08,1.11E+07,2.26E+06,8.22E+08,2.33E+06,2.20E+06,284.2,3.05
W,W760x257,773,381,16.6,27.1,718.8,31.9,13.6,655,59,38,32800,3430000000,250000000,3680000000,323,87.2,334.6,8880000,1310000,17926,11622,6510000,3.48E+13,1.83E+08,9.97E+06,2.02E+06,7.34E+08,2.14E+06,1.97E+06,257.5,3.04
W,W760x220,779,266,16.5,30,719,32,15,655,62,38,28100,2780000000,94400000,2874400000,315,58,320.3,7140000,710000,14208,11602,6050000,1.32E+13,9.94E+07,8.19E+06,1.11E+06,3.97E+08,2.13E+06,1.06E+06,220.6,2.59
W,W760x196,770,268,15.6,25.4,719.2,31.6,12.7,656,57,38,25100,2400000000,81700000,2481700000,309,57.1,314.2,6240000,610000,11977,10755,4040000,1.13E+13,8.49E+07,7.17E+06,9.59E+05,3.40E+08,2.02E+06,9.12E+05,197,2.58
W,W760x185,766,267,14.9,23.6,718.8,31.4,11.8,656,55,37,23500,2230000000,75100000,2305100000,308,56.5,313.1,5820000,563000,11057,10216,3330000,1.03E+13,7.81E+07,6.69E+06,8.84E+05,3.12E+08,1.92E+06,8.41E+05,184.5,2.57
W,W760x173,762,267,14.4,21.6,718.8,31.4,10.8,656,53,37,22100,2060000000,68700000,2128700000,305,55.7,310,5400000,515000,10065,9779,2690000,9.42E+12,7.13E+07,6.21E+06,8.10E+05,2.85E+08,1.86E+06,7.70E+05,173.5,2.56
W,W760x161,758,266,13.8,19.3,719.4,31.7,9.7,656,51,37,20200,1860000000,60700000,1920700000,302,54.5,306.9,4900000,457000,8912,9209,2070000,8.28E+12,6.30E+07,5.66E+06,7.20E+05,2.52E+08,1.79E+06,6.83E+05,158.6,2.55
W,W760x147,753,265,13.2,17,719,32,8.5,655,49,37,18800,1660000000,52900000,1712900000,298,53.1,302.7,4410000,399000,7787,8642,1560000,7.16E+12,5.49E+07,5.10E+06,6.31E+05,2.20E+08,1.71E+06,5.97E+05,147.6,2.54
W,W760x134,750,264,11.9,15.5,719,31.5,7.8,656,47,36,17000,1500000000,47700000,1547700000,297,53,301.7,4010000,361000,7057,7699,1180000,6.43E+12,4.96E+07,4.63E+06,5.68E+05,1.98E+08,1.54E+06,5.40E+05,133.4,2.53
W,W690x802,826,387,50,89.9,646.2,31.1,45,584,121,55,102200,10600000000,875000000,11475000000,322,92.6,335.1,25700000,4520000,66921,36858,203000000,1.19E+14,6.19E+08,3.09E+07,7.14E+06,2.48E+09,5.22E+06,6.73E+06,802.3,3.1
W,W690x548,772,372,35.1,63,646,32,31.5,582,95,48,69800,6730000000,543000000,7273000000,310,88.1,322.3,17400000,2920000,43286,24474,70700000,6.82E+13,3.86E+08,2.04E+07,4.57E+06,1.55E+09,3.66E+06,4.36E+06,547.9,2.96
W,W690x500,762,369,32,57.9,646.2,31.1,28.9,584,89,46,63700,6060000000,487000000,6547000000,308,87.4,320.2,15900000,2640000,39188,22072,54600000,6.03E+13,3.47E+08,1.85E+07,4.11E+06,1.39E+09,3.34E+06,3.94E+06,500,2.94
W,W690x457,752,367,29.5,53.1,645.8,31.9,26.6,582,85,45,58200,5470000000,439000000,5909000000,306,86.7,318,14500000,2390000,35414,20114,42300000,5.36E+13,3.12E+08,1.68E+07,3.72E+06,1.25E+09,3.08E+06,3.58E+06,456.9,2.91
W,W690x419,744,364,26.9,49,646,32,24.5,582,81,43,53300,4950000000,395000000,5345000000,305,86,316.9,13300000,2170000,32194,18106,33000000,4.77E+13,2.82E+08,1.53E+07,3.37E+06,1.13E+09,2.81E+06,3.25E+06,418.4,2.89
W,W690x384,736,362,24.9,45,646,32,22.5,582,77,42,48900,4490000000,357000000,4847000000,303,85.3,314.8,12200000,1970000,29270,16617,25700000,4.26E+13,2.55E+08,1.40E+07,3.05E+06,1.02E+09,2.60E+06,2.95E+06,383.9,2.87
W,W690x350,728,360,23.1,40.9,646.2,31.1,20.4,584,72,42,44600,4030000000,319000000,4349000000,300,84.4,311.6,11100000,1770000,26285,15238,19500000,3.76E+13,2.28E+08,1.26E+07,2.74E+06,9.11E+08,2.41E+06,2.65E+06,350.1,2.85
W,W690x323,722,359,21.1,38.1,645.8,31.9,19.1,582,70,41,41100,3710000000,294000000,4004000000,300,84.4,311.6,10300000,1640000,24203,13805,15700000,3.44E+13,2.10E+08,1.17E+07,2.53E+06,8.40E+08,2.20E+06,2.46E+06,322.6,2.84
W,W690x289,714,356,19,34,646,32,17,582,66,40,36800,3260000000,256000000,3516000000,298,83.4,309.5,9140000,1440000,21320,12262,11200000,2.96E+13,1.83E+08,1.03E+07,2.22E+06,7.33E+08,1.98E+06,2.15E+06,288.9,2.81
W,W690x265,706,358,18.4,30.2,645.6,31.8,15.1,582,62,39,33700,2920000000,231000000,3151000000,294,82.7,305.4,8270000,1290000,18888,11734,8340000,2.64E+13,1.63E+08,9.33E+06,1.99E+06,6.54E+08,1.92E+06,1.94E+06,264.5,2.81
W,W690x240,701,356,16.8,27.4,646.2,31.6,13.7,583,59,38,30600,2630000000,206000000,2836000000,292,82,303.3,7490000,1160000,16959,10640,6270000,2.34E+13,1.46E+08,8.43E+06,1.79E+06,5.85E+08,1.75E+06,1.74E+06,240.2,2.79
W,W690x217,695,355,15.4,24.8,645.4,31.2,12.4,583,56,38,27700,2360000000,185000000,2545000000,291,81.5,302.2,6790000,1040000,15257,9656,4720000,2.08E+13,1.31E+08,7.61E+06,1.61E+06,5.24E+08,1.60E+06,1.56E+06,217.4,2.78
W,W690x192,702,254,15.5,27.9,646.2,31.1,13.9,584,59,38,24400,1980000000,76400000,2056400000,285,56,290.4,5640000,602000,12580,9736,4610000,8.68E+12,7.58E+07,6.46E+06,9.41E+05,3.03E+08,1.62E+06,9.00E+05,191.5,2.39
W,W690x170,693,256,14.5,23.6,645.8,31.4,11.8,583,55,37,21600,1700000000,66200000,1766200000,280,55.3,285.4,4900000,517000,10619,8881,3040000,7.41E+12,6.47E+07,5.62E+06,8.09E+05,2.59E+08,1.51E+06,7.73E+05,169.6,2.38
W,W690x152,688,254,13.1,21.1,645.8,31.9,10.6,582,53,37,19400,1510000000,57800000,1567800000,279,54.6,284.3,4380000,455000,9363,7913,2200000,6.42E+12,5.67E+07,5.00E+06,7.10E+05,2.27E+08,1.37E+06,6.81E+05,152.3,2.37
W,W690x140,684,254,12.4,18.9,646.2,31.1,9.4,584,50,36,17900,1360000000,51700000,1411700000,276,53.9,281.2,3980000,407000,8324,7377,1670000,5.72E+12,5.07E+07,4.55E+06,6.36E+05,2.03E+08,1.29E+06,6.10E+05,140.5,2.36
W,W690x125,678,253,11.7,16.3,645.4,31.7,8.2,582,48,36,16000,1180000000,44100000,1224100000,272,52.5,277,3500000,349000,7113,6725,1170000,4.83E+12,4.31E+07,4.01E+06,5.46E+05,1.73E+08,1.22E+06,5.22E+05,125.6,2.34
W,W610x551,711,347,38.6,69.1,572.8,31.9,34.5,509,101,49,70200,5570000000,484000000,6054000000,282,83,294,15700000,2790000,45080,24386,83800000,4.99E+13,3.34E+08,1.86E+07,4.38E+06,1.34E+09,3.17E+06,4.16E+06,551.1,2.73
W,W610x498,699,343,35.1,63,573,32,31.5,509,95,48,63500,4950000000,426000000,5376000000,279,81.9,290.8,14200000,2480000,40246,21881,63200000,4.31E+13,2.95E+08,1.67E+07,3.89E+06,1.18E+09,2.88E+06,3.71E+06,498.5,2.7
