type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,Ht,h,OD,B,b,tnom,tdes,b/tdes,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw
HSS,HSS508X304.8X9.5,HSS508X304.8X9.5,117,13900,508,483,,305,279,9.53,8.86,31.4,54.3,,499000000,2360000,1970000,189,228000000,1670000,1490000,128,491000000,2.62E+15
HSS,HSS508X304.8X7.9,HSS508X304.8X7.9,97.9,11700,508,485,,305,282,7.94,7.39,38.2,65.7,,420000000,2000000,1660000,190,193000000,1410000,1270000,129,415000000,2.2E+15
HSS,HSS508X203.2X25.4,HSS508X203.2X25.4,250,29900,508,437,,203,132,25.4,23.6,5.6,18.5,,857000000,4470000,3380000,169,196000000,2310000,1930000,81,549000000,4.06E+15
HSS,HSS508X203.2X22.2,HSS508X203.2X22.2,223,26600,508,447,,203,141,22.2,20.7,6.83,21.6,,783000000,4030000,3080000,171,180000000,2080000,1770000,82.3,499000000,3.64E+15
HSS,HSS508X203.2X19.0,HSS508X203.2X19.0,194,23200,508,455,,203,150,19.1,17.7,8.46,25.7,,695000000,3540000,2740000,173,161000000,1840000,1590000,83.6,441000000,3.2E+15
HSS,HSS508X203.2X15.9,HSS508X203.2X15.9,164,19500,508,465,,203,159,15.9,14.8,10.8,31.4,,599000000,3030000,2360000,175,141000000,1580000,1390000,84.8,381000000,2.74E+15
HSS,HSS508X203.2X12.7,HSS508X203.2X12.7,133,15900,508,472,,203,168,12.7,11.8,14.2,40,,495000000,2490000,1950000,177,118000000,1300000,1160000,86.1,315000000,2.25E+15
HSS,HSS508X203.2X9.5,HSS508X203.2X9.5,102,12100,508,483,,203,177,9.53,8.86,19.9,54.3,,385000000,1920000,1520000,179,92400000,1010000,911000,87.4,244000000,1.72E+15
HSS,HSS508X203.2X7.9,HSS508X203.2X7.9,85.3,10100,508,485,,203,181,7.94,7.39,24.5,65.7,,327000000,1620000,1290000,180,78700000,852000,777000,88.1,206000000,1.45E+15
HSS,HSS508X152.4X15.9,HSS508X152.4X15.9,152,18100,508,465,,152,108,15.9,14.8,7.33,31.4,,508000000,2650000,2000000,168,72800000,1100000,957000,63.5,220000000,2E+15
HSS,HSS508X152.4X12.7,HSS508X152.4X12.7,123,14700,508,472,,152,117,12.7,11.8,9.9,40,,425000000,2200000,1670000,170,61600000,914000,810000,64.8,184000000,1.64E+15
HSS,HSS508X152.4X9.5,HSS508X152.4X9.5,94.1,11200,508,483,,152,126,9.53,8.86,14.2,54.3,,330000000,1690000,1300000,172,49100000,711000,642000,66,144000000,1.27E+15
HSS,HSS508X152.4X7.9,HSS508X152.4X7.9,79,9420,508,485,,152,130,7.95,7.39,17.6,65.7,,280000000,1430000,1100000,172,42000000,605000,551000,66.8,122000000,1.07E+15
HSS,HSS508X152.4X6.4,HSS508X152.4X6.4,63.8,7610,508,490,,152,135,6.35,5.92,22.8,82.8,,229000000,1160000,900000,173,34500000,492000,452000,67.6,99900000,8.7E+14
HSS,HSS508X101.6X12.7,HSS508X101.6X12.7,113,13500,508,472,,102,66,12.7,11.8,5.6,40,,349000000,1880000,1370000,161,24400000,557000,480000,42.7,81200000,1.05E+15
HSS,HSS508X101.6X9.5,HSS508X101.6X9.5,86.4,10300,508,483,,102,74.9,9.53,8.86,8.46,54.3,,273000000,1460000,1080000,163,19800000,439000,390000,43.9,64900000,8.18E+14
HSS,HSS508X101.6X7.9,HSS508X101.6X7.9,72.7,8650,508,485,,102,79.5,7.94,7.39,10.7,65.7,,233000000,1240000,918000,164,17100000,375000,338000,44.5,55800000,6.95E+14
HSS,HSS508X101.6X6.4,HSS508X101.6X6.4,58.7,6970,508,490,,102,83.8,6.35,5.92,14.2,82.8,,191000000,1010000,751000,165,14300000,306000,280000,45.2,46200000,5.69E+14
HSS,HSS457.2X457.2X25.4,HSS457.2X457.2X25.4,331,39500,457,386,,457,386,25.4,23.6,16.4,16.4,,1220000000,6340000,5310000,175,1220000000,6340000,5310000,175,1970000000,8.83E+15
HSS,HSS457.2X457.2X22.2,HSS457.2X457.2X22.2,293,35000,457,396,,457,396,22.2,20.7,19.2,19.2,,1090000000,5670000,4790000,177,1090000000,5670000,4790000,177,1760000000,7.85E+15
HSS,HSS457.2X457.2X19.0,HSS457.2X457.2X19.0,255,30400,457,404,,457,404,19.1,17.7,22.8,22.8,,966000000,4950000,4230000,178,966000000,4950000,4230000,178,1540000000,6.83E+15
HSS,HSS457.2X457.2X15.9,HSS457.2X457.2X15.9,215,25500,457,414,,457,414,15.9,14.8,28.1,28.1,,824000000,4210000,3610000,180,824000000,4210000,3610000,180,1300000000,5.77E+15
HSS,HSS457.2X457.2X12.7,HSS457.2X457.2X12.7,174,20700,457,422,,457,422,12.7,11.8,35.7,35.7,,678000000,3440000,2970000,181,678000000,3440000,2970000,181,1060000000,4.69E+15
HSS,HSS457.2X457.2X9.5,HSS457.2X457.2X9.5,132,15700,457,432,,457,432,9.53,8.86,48.6,48.6,,520000000,2620000,2280000,182,520000000,2620000,2280000,182,807000000,3.56E+15
HSS,HSS457.2X457.2X7.9,HSS457.2X457.2X7.9,111,13200,457,434,,457,434,7.95,7.39,58.9,58.9,,441000000,2210000,1930000,183,441000000,2210000,1930000,183,678000000,2.98E+15
HSS,HSS457.2X457.2X6.4,HSS457.2X457.2X6.4,89.1,10600,457,439,,457,439,6.35,5.92,74.3,74.3,,358000000,1790000,1570000,184,358000000,1790000,1570000,184,549000000,2.41E+15
HSS,HSS457.2X254X15.9,HSS457.2X254X15.9,164,19500,457,414,,254,210,15.9,14.8,14.2,28,,533000000,2880000,2330000,165,213000000,1920000,1670000,104,495000000,3.11E+15
HSS,HSS457.2X254X12.7,HSS457.2X254X12.7,133,15900,457,422,,254,219,12.7,11.8,18.5,35.7,,441000000,2360000,1920000,166,177000000,1580000,1390000,106,407000000,2.54E+15
HSS,HSS457.2X254X9.5,HSS457.2X254X9.5,102,12100,457,432,,254,227,9.53,8.86,25.7,48.6,,341000000,1820000,1490000,168,138000000,1220000,1090000,107,313000000,1.95E+15
HSS,HSS457.2X254X7.9,HSS457.2X254X7.9,85.4,10100,457,434,,254,232,7.95,7.39,31.4,58.9,,289000000,1540000,1270000,169,117000000,1030000,924000,107,264000000,1.64E+15
HSS,HSS457.2X254X6.4,HSS457.2X254X6.4,68.8,8190,457,439,,254,236,6.35,5.92,39.9,74.3,,236000000,1250000,1030000,170,95700000,834000,755000,108,214000000,1.32E+15
HSS,HSS457.2X203.2X15.9,HSS457.2X203.2X15.9,152,18100,457,414,,203,159,15.9,14.8,10.8,28,,458000000,2560000,2000000,159,127000000,1440000,1260000,84.1,332000000,2.44E+15
HSS,HSS457.2X203.2X12.7,HSS457.2X203.2X12.7,123,14700,457,422,,203,168,12.7,11.8,14.2,35.7,,380000000,2100000,1660000,161,107000000,1190000,1050000,85.3,274000000,2E+15
HSS,HSS457.2X203.2X9.5,HSS457.2X203.2X9.5,94.1,11200,457,432,,203,177,9.53,8.86,19.9,48.6,,296000000,1620000,1290000,163,84100000,919000,828000,86.6,212000000,1.54E+15
