type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo
W,W690X457,W690X457,T,457,58200,752,752,366,368,29.5,30.2,15.9,53.1,52.4,73.2,84.1,46,3.46,20.6,5450000000,16900000,14500000,305,437000000,3720000,2390000,86.6,42000000,5.34E+13,63900,310000000,3110000,8320000,103,698,2500,2870,1870,2240,584,140,
W,W690X419,W690X419,F,419,53600,744,743,366,365,26.9,27,14.3,49,49.2,69.1,79.4,44.5,3.72,22.5,4950000000,15300000,13300000,305,397000000,3380000,2180000,86.1,33100000,4.78E+13,63500,285000000,2880000,7640000,102,696,2500,2870,1850,2220,584,140,
W,W690X384,W690X384,F,384,49100,737,737,363,362,24.9,25.4,12.7,45,44.4,65,76.2,42.9,4.03,24.4,4500000000,14000000,12200000,302,358000000,3060000,1970000,85.3,25600000,4.27E+13,62800,256000000,2620000,6950000,101,691,2480,2840,1840,2200,584,140,
W,W690X350,W690X350,F,350,44800,729,727,361,362,23.1,23.8,12.7,40.9,41.3,61,73,42.9,4.41,26.2,4040000000,12700000,11100000,300,320000000,2750000,1770000,84.6,19600000,3.79E+13,62100,229000000,2380000,6290000,99.6,688,2460,2820,1820,2180,584,140,
W,W690X323,W690X323,F,323,41200,721,721,358,359,21.1,20.6,11.1,38.1,38.1,58.2,68.3,41.3,4.71,28.7,3710000000,11700000,10300000,300,293000000,2520000,1640000,84.3,15700000,3.44E+13,61200,209000000,2200000,5750000,98.8,683,2440,2790,1800,2160,584,140,
W,W690X289,W690X289,F,289,36800,714,714,356,356,19.1,19,9.52,34,33.3,54.1,65.1,39.7,5.24,31.8,3270000000,10300000,9160000,297,258000000,2230000,1440000,83.6,11300000,2.98E+13,60500,183000000,1950000,5110000,97.8,681,2410,2770,1780,2140,584,140,
W,W690X265,W690X265,F,265,33900,706,705,358,359,18.4,19,9.52,30.2,30.2,50.3,60.3,39.7,5.92,32.9,2920000000,9340000,8280000,295,231000000,2000000,1290000,82.6,8370000,2.64E+13,60500,164000000,1740000,4620000,97.3,676,2410,2770,1770,2130,584,140,
W,W690X240,W690X240,F,240,30700,701,702,356,356,16.8,17.5,9.52,27.4,27,47.5,58.7,39.7,6.49,36.1,2630000000,8440000,7510000,292,207000000,1790000,1160000,82,6290000,2.34E+13,59900,146000000,1560000,4160000,96.3,673,2410,2770,1760,2110,584,140,
W,W690X217,W690X217,F,217,27900,696,695,356,356,15.4,15.9,7.94,24.8,25.4,44.7,55.6,38.1,7.16,39.4,2360000000,7600000,6780000,292,184000000,1600000,1040000,81.3,4700000,2.07E+13,59700,132000000,1410000,3750000,95.5,671,2390,2740,1750,2100,584,140,
W,W690X192,W690X192,F,192,24400,701,702,254,254,15.5,15.9,7.94,27.9,28.6,43.2,58.7,38.1,4.55,39.7,1980000000,6470000,5650000,284,76600000,944000,603000,56.1,4620000,8.73E+12,42800,75800000,1120000,3200000,67.6,673,2110,2360,1660,1910,584,140,
W,W690X170,W690X170,F,170,21700,693,692,257,257,14.5,14.3,7.94,23.6,23.8,38.9,54,38.1,5.41,42.5,1700000000,5620000,4900000,279,66200000,808000,516000,55.4,3050000,7.41E+12,43000,64900000,957000,2790000,67.3,671,2100,2360,1640,1900,584,140,
W,W690X152,W690X152,F,152,19400,688,689,254,254,13.1,12.7,6.35,21.1,20.6,36.3,52.4,36.5,6.03,47.1,1510000000,5000000,4380000,279,57900000,711000,456000,54.6,2200000,6.44E+12,42400,56600000,847000,2470000,66.5,668,2090,2340,1630,1880,584,140,
W,W690X140,W690X140,F,140,17800,683,683,254,254,12.4,12.7,6.35,18.9,19,34,49.2,36.5,6.7,49.5,1360000000,4560000,3980000,277,51600000,636000,406000,53.8,1680000,5.72E+12,42200,50800000,759000,2250000,65.8,665,2080,2330,1620,1870,584,140,
W,W690X125,W690X125,F,125,15900,678,679,254,254,11.7,11.1,6.35,16.3,15.9,31.5,47.6,36.5,7.78,52.7,1190000000,4000000,3490000,272,44100000,544000,347000,52.6,1170000,4.81E+12,42100,43300000,652000,1980000,64.5,663,2070,2320,1610,1860,584,140,
W,W610X551,W610X551,T,551,70300,711,711,348,346,38.6,38.1,19,69.1,69.8,81.8,102,50.8,2.51,14.2,5580000000,18500000,15700000,282,483000000,4380000,2790000,83.1,83700000,4.99E+13,55900,336000000,3420000,9310000,99.6,643,2370,2720,1770,2120,508,140,
W,W610X498,W610X498,T,498,63400,699,698,343,343,35.1,34.9,17.5,63,63.5,75.7,95.3,47.6,2.73,15.6,4950000000,16700000,14200000,279,429000000,3900000,2490000,82,63300000,4.32E+13,54500,294000000,3080000,8290000,98,635,2320,2670,1740,2080,508,140,
W,W610X455,W610X455,T,455,57900,688,689,340,340,32,31.8,15.9,57.9,57.2,70.6,90.5,46,2.94,17.1,4450000000,15100000,12900000,277,383000000,3510000,2250000,81.3,48700000,3.81E+13,53600,264000000,2820000,7520000,96.8,630,2300,2640,1720,2060,508,140,
W,W610X415,W610X415,T,415,52800,678,679,338,337,29.5,30.2,15.9,53.1,52.4,65.8,85.7,46,3.18,18.6,4000000000,13700000,11800000,274,343000000,3160000,2030000,80.5,37700000,3.36E+13,52800,237000000,2560000,6820000,95.5,625,2280,2620,1690,2030,508,140,
W,W610X372,W610X372,F,372,47400,668,670,335,333,26.4,27,14.3,48,47.6,60.7,79.4,44.5,3.49,20.7,3530000000,12200000,10600000,272,301000000,2800000,1800000,79.8,27700000,2.90E+13,52000,209000000,2290000,6060000,94.2,620,2260,2590,1670,2010,508,140,
W,W610X341,W610X341,F,341,43400,660,660,333,333,24.4,23.8,12.7,43.9,44.4,56.6,76.2,42.9,3.79,22.5,3180000000,11100000,9640000,272,271000000,2520000,1630000,79,21400000,2.58E+13,51300,187000000,2080000,5510000,93.2,617,2260,2590,1650,1990,508,140,
W,W610X307,W610X307,F,307,39200,653,654,330,330,22.1,22.2,11.1,39.9,39.7,52.6,73,41.3,4.14,24.8,2840000000,9930000,8700000,269,241000000,2250000,1460000,78.2,15900000,2.26E+13,50600,166000000,1880000,4950000,91.9,612,2240,2570,1640,1970,508,140,
W,W610X285,W610X285,F,285,36500,648,648,330,330,20.6,20.6,11.1,37.1,36.5,49.8,69.9,41.3,4.43,26.6,2610000000,9160000,8050000,267,221000000,2060000,1340000,78,12800000,2.05E+13,50400,154000000,1750000,4590000,91.4,610,2240,2570,1630,1960,508,140,
W,W610X262,W610X262,F,262,33400,640,641,328,327,19.1,19,9.52,34,33.3,46.7,66.7,39.7,4.81,28.7,2360000000,8370000,7370000,267,199000000,1880000,1220000,77.2,9950000,1.84E+13,49600,139000000,1590000,4160000,90.7,607,2200,2530,1610,1940,508,140,
W,W610X241,W610X241,F,241,30800,635,635,330,330,17.9,17.5,9.52,31,31.8,43.7,63.5,39.7,5.31,30.6,2150000000,7670000,6780000,264,184000000,1720000,1120000,77.5,7700000,1.68E+13,49900,127000000,1460000,3820000,90.7,605,2200,2530,1600,1930,508,140,
W,W610X217,W610X217,F,217,27700,627,629,328,327,16.5,15.9,7.94,27.7,27,40.4,60.3,39.7,5.92,33.2,1910000000,6850000,6080000,262,163000000,1530000,991000,76.5,5580000,1.47E+13,49100,112000000,1290000,3390000,89.7,599,2180,2510,1580,1910,508,140,
W,W610X195,W610X195,F,195,24900,622,622,328,327,15.4,15.9,7.94,24.4,23.8,37.1,57.2,38.1,6.7,35.6,1670000000,6060000,5390000,259,142000000,1340000,869000,75.4,3950000,1.26E+13,49000,97800000,1140000,3020000,88.6,597,2170,2500,1570,1900,508,140,
W,W610X174,W610X174,F,174,22200,617,616,325,324,14,14.3,7.94,21.6,22.2,34.3,54,38.1,7.53,39.2,1470000000,5360000,4770000,257,124000000,1170000,762000,74.7,2800000,1.10E+13,48400,84900000,1000000,2670000,87.9,597,2160,2480,1560,1880,508,140,
W,W610X155,W610X155,F,155,19800,612,610,325,324,12.7,12.7,6.35,19.1,19,31.8,52.4,36.5,8.5,43.1,1290000000,4740000,4230000,257,108000000,1020000,667000,73.9,1960000,9.45E+12,48200,74500000,883000,2360000,86.9,594,2150,2480,1550,1870,508,140,
W,W610X153,W610X153,F,153,19500,622,622,229,229,14,14.3,7.94,24.9,25.4,37.6,57.2,38.1,4.59,39.2,1250000000,4590000,4010000,254,49500000,680000,434000,50.5,2940000,4.46E+12,34100,48700000,798000,2280000,61,597,1880,2110,1470,1700,508,140,
W,W610X140,W610X140,F,140,17900,617,616,230,232,13.1,12.7,6.35,22.2,22.2,35.1,54,36.5,5.18,41.9,1120000000,4160000,3640000,251,45400000,615000,393000,50.3,2190000,4.03E+12,34300,43700000,718000,2060000,61,594,1880,2110,1470,1690,508,140,
W,W610X125,W610X125,F,125,15900,612,613,229,229,11.9,12.7,6.35,19.6,19,32.3,52.4,36.5,5.86,45.9,986000000,3670000,3210000,249,39300000,534000,342000,49.5,1540000,3.44E+12,33900,38000000,629000,1820000,60.2,592,1870,2100,1450,1680,508,140,
W,W610X113,W610X113,F,113,14500,607,606,228,229,11.2,11.1,6.35,17.3,17.5,30,49.2,36.5,6.61,49,874000000,3280000,2880000,246,34300000,469000,302000,48.8,1120000,2.98E+12,33700,33200000,554000,1620000,59.2,589,1850,2080,1440,1670,508,140,
W,W610X101,W610X101,F,101,13000,602,603,228,229,10.5,11.1,6.35,14.9,14.3,27.7,47.6,36.5,7.66,52,762000000,2900000,2520000,243,29300000,401000,257000,47.5,778000,2.53E+12,33400,28300000,474000,1430000,58.4,587,1840,2070,1430,1660,508,140,
W,W610X92,W610X92,F,92,11700,602,603,179,178,10.9,11.1,6.35,15,14.3,27.7,38.1,27,5.97,50.1,645000000,2510000,2150000,234,14400000,257000,161000,35.1,712000,1.24E+12,26300,17600000,369000,1230000,44.4,587,1700,1870,1380,1560,527,88.9,
W,W610X82,W610X82,F,82,10500,599,600,178,178,10,9.52,4.76,12.8,12.7,25.7,36.5,25.4,6.94,54.6,562000000,2200000,1870000,231,12100000,218000,136000,34,491000,1.04E+12,26100,14900000,316000,1080000,43.7,587,1690,1870,1380,1550,527,88.9,
W,W530X409,W530X409,T,409,52800,612,613,328,327,31,31.8,15.9,55.6,55.6,85.6,87.3,46,2.95,14.2,3200000000,12300000,10500000,246,328000000,3130000,2000000,78.7,44500000,2.54E+13,45600,208000000,2290000,6050000,93.5,556,2090,2420,1550,1880,438,140,
W,W530X369,W530X369,F,369,47600,602,603,325,324,27.9,28.6,14.3,50.5,50.8,80.5,82.6,44.5,3.22,15.8,2840000000,11000000,9440000,244,291000000,2790000,1790000,78.2,33600000,2.21E+13,44800,184000000,2070000,5410000,92.2,551,2070,2400,1530,1850,438,140,
W,W530X332,W530X332,F,332,42900,594,594,323,321,25.4,25.4,12.7,45.5,46,75.4,77.8,42.9,3.55,17.5,2530000000,9850000,8520000,243,256000000,2460000,1580000,77.2,24800000,1.93E+13,44300,162000000,1850000,4840000,90.7,549,2050,2380,1510,1830,438,140,
W,W530X300,W530X300,F,300,38300,584,584,320,321,23.1,23.8,12.7,41.4,41.3,54.1,73,42.9,3.86,20.6,2210000000,8690000,7550000,241,226000000,2180000,1410000,76.7,17000000,1.66E+13,43400,144000000,1670000,4330000,90.2,544,2060,2380,1490,1810,438,140,
W,W530X272,W530X272,F,272,34600,577,578,318,318,21.1,20.6,11.1,37.6,38.1,50.3,69.9,41.3,4.22,22.6,1970000000,7800000,6830000,239,201000000,1950000,1270000,76.2,12800000,1.46E+13,42800,128000000,1500000,3880000,89.2,538,2040,2360,1470,1790,438,140,
W,W530X248,W530X248,F,248,31500,572,572,315,314,19.1,19,9.52,34.5,34.9,47.2,66.7,39.7,4.57,25,1780000000,7080000,6230000,238,181000000,1770000,1150000,75.9,9820000,1.30E+13,42300,115000000,1370000,3520000,88.4,536,2030,2340,1460,1770,438,140,
W,W530X219,W530X219,F,219,27900,561,559,318,318,18.3,19,9.52,29.2,28.6,41.9,61.9,39.7,5.44,26.1,1510000000,6110000,5390000,233,157000000,1520000,985000,74.9,6410000,1.10E+13,42300,97800000,1160000,3050000,87.9,533,2020,2330,1440,1760,438,140,
W,W530X196,W530X196,F,196,25000,554,556,315,318,16.5,15.9,7.94,26.4,27,39.1,57.2,39.7,6.01,28.9,1340000000,5460000,4830000,232,139000000,1350000,877000,74.4,4700000,9.67E+12,41500,85700000,1030000,2690000,87.1,528,2000,2310,1420,1740,438,140,
W,W530X182,W530X182,F,182,23200,551,549,315,314,15.2,15.9,7.94,24.4,23.8,37.1,57.2,38.1,6.45,31.3,1230000000,5030000,4470000,231,127000000,1240000,806000,74.2,3740000,8.78E+12,41500,79500000,962000,2510000,86.4,526,1990,2310,1420,1730,438,140,
W,W530X165,W530X165,F,165,21000,546,546,312,314,14,14.3,7.94,22.2,22.2,35.1,54,38.1,7.05,34.1,1110000000,4570000,4080000,230,114000000,1120000,729000,73.7,2840000,7.84E+12,40900,71200000,869000,2260000,85.6,523,1980,2290,1400,1720,438,140,
W,W530X150,W530X150,F,150,19200,544,543,312,311,12.7,12.7,6.35,20.3,20.6,33,52.4,36.5,7.68,37.5,1010000000,4150000,3720000,229,103000000,1010000,660000,73.4,2170000,7.04E+12,40800,64900000,796000,2060000,85.1,523,1980,2290,1400,1710,438,140,
W,W530X138,W530X138,F,138,17600,549,549,214,213,14.7,14.3,7.94,23.6,23.8,36.3,41.3,23.8,4.53,32.3,862000000,3620000,3150000,221,38700000,569000,362000,46.7,2510000,2.67E+12,28100,35500000,618000,1790000,56.9,526,1690,1900,1310,1520,467,140,
W,W530X123,W530X123,F,123,15700,544,543,212,213,13.1,12.7,6.35,21.2,20.6,34,38.1,22.2,5,36.4,762000000,3210000,2800000,220,33900000,500000,320000,46.5,1810000,2.32E+12,27700,31200000,552000,1590000,56.1,523,1680,1890,1300,1510,467,140,
W,W530X109,W530X109,F,109,13900,538,540,211,210,11.6,11.1,6.35,18.8,19,31.5,36.5,22.2,5.6,41.2,666000000,2820000,2470000,219,29400000,436000,279000,46,1260000,1.99E+12,27400,27100000,487000,1390000,55.6,521,1660,1870,1290,1500,467,140,
W,W530X101,W530X101,F,101,12900,536,537,210,210,10.9,11.1,6.35,17.4,17.5,30.2,34.9,22.2,6.04,43.6,616000000,2620000,2290000,218,26900000,400000,257000,45.7,1020000,1.82E+12,27200,24900000,449000,1290000,55.1,518,1660,1870,1280,1490,467,140,
W,W530X92,W530X92,F,92,11800,533,533,209,210,10.2,9.52,4.76,15.6,15.9,28.4,33.3,20.6,6.7,46.9,554000000,2360000,2080000,217,23900000,356000,229000,45,762000,1.60E+12,27100,22100000,403000,1170000,54.6,518,1650,1860,1280,1490,467,140,
W,W530X82,W530X82,F,82,10500,528,527,209,210,9.53,9.52,4.76,13.3,12.7,25.9,30.2,20.6,7.87,50,475000000,2060000,1800000,213,20100000,302000,193000,43.9,516000,1.34E+12,26900,18600000,341000,1010000,53.6,515,1640,1850,1260,1470,467,140,
W,W530X72,W530X72,F,72,9100,523,524,207,206,8.89,9.52,4.76,10.9,11.1,23.6,28.6,20.6,9.47,53.6,399000000,1750000,1520000,209,16100000,244000,156000,42.2,334000,1.06E+12,26500,14900000,277000,857000,52.1,513,1630,1830,1250,1460,467,140,
W,W530X85,W530X85,F,85,10800,536,533,167,165,10.3,9.52,4.76,16.5,15.9,29.2,33.3,20.6,5.04,46.3,487000000,2110000,1820000,212,12700000,243000,153000,34.3,737000,8.57E+11,21600,14900000,336000,1040000,42.7,521,1530,1700,1240,1400,467,88.9,
W,W530X74,W530X74,F,74,9480,528,530,166,165,9.65,9.52,4.76,13.6,14.3,26.4,31.8,20.6,6.1,49.4,410000000,1800000,1550000,208,10400000,200000,125000,33,475000,6.90E+11,21400,12000000,274000,883000,41.7,516,1510,1680,1220,1390,467,88.9,
W,W530X66,W530X66,F,66,8390,526,524,165,165,8.89,9.52,4.76,11.4,11.1,24.1,28.6,20.6,7.22,53.6,351000000,1560000,1340000,205,8620000,167000,104000,32,320000,5.67E+11,21200,10000000,229000,767000,40.6,516,1510,1670,1220,1380,467,88.9,
W,W460X464,W460X464,T,464,59100,566,568,305,305,38.6,38.1,19,69.6,69.8,82.3,90.5,39.7,2.19,10.4,2900000000,12400000,10200000,221,331000000,3390000,2160000,74.9,73300000,2.05E+13,37900,201000000,2290000,6150000,89.7,498,1950,2250,1440,1740,384,140,
W,W460X421,W460X421,T,421,53700,556,556,302,302,35.6,34.9,17.5,63.5,63.5,76.2,85.7,38.1,2.38,11.3,2570000000,11100000,9260000,219,293000000,3030000,1930000,73.9,55800000,1.77E+13,37200,179000000,2080000,5560000,88.1,493,1930,2230,1410,1720,384,140,
W,W460X384,W460X384,T,384,49000,546,546,300,298,32.5,31.8,15.9,58.4,58.7,68.6,81,36.5,2.56,12.5,2290000000,10000000,8420000,217,261000000,2720000,1750000,73.2,42900000,1.55E+13,36500,160000000,1900000,5010000,86.9,488,1910,2210,1390,1690,384,140,
W,W460X349,W460X349,T,349,44300,536,533,297,295,29.5,30.2,15.9,53.6,54,63.8,76.2,34.9,2.76,13.8,2040000000,9000000,7640000,214,232000000,2440000,1570000,72.4,32800000,1.35E+13,35800,143000000,1740000,4520000,85.6,483,1890,2180,1370,1670,384,140,
W,W460X315,W460X315,F,315,40200,526,524,295,292,26.9,27,14.3,48.5,49.2,58.7,71.4,34.9,3.02,15.1,1800000000,8030000,6870000,212,205000000,2160000,1400000,71.6,24400000,1.17E+13,35200,126000000,1550000,4030000,84.3,478,1860,2160,1350,1640,384,140,
W,W460X286,W460X286,F,286,36300,518,518,292,292,24.4,23.8,12.7,44.5,44.4,54.6,66.7,33.3,3.27,16.7,1610000000,7240000,6230000,210,183000000,1950000,1260000,70.9,18600000,1.02E+13,34600,112000000,1410000,3640000,83.3,475,1850,2140,1330,1620,384,140,
W,W460X260,W460X260,F,260,33200,508,508,290,289,22.6,22.2,11.1,40.4,39.7,50.5,61.9,31.8,3.58,18,1440000000,6520000,5640000,208,163000000,1740000,1130000,70.1,14100000,8.94E+12,33900,99100000,1260000,3240000,82.3,467,1820,2110,1310,1600,384,140,
W,W460X235,W460X235,F,235,29900,500,502,287,286,20.6,20.6,11.1,36.6,36.5,46.7,60.3,31.8,3.92,19.8,1270000000,5830000,5080000,206,144000000,1550000,1010000,69.6,10500000,7.79E+12,33300,87400000,1130000,2900000,81.3,465,1800,2090,1290,1570,384,140,
W,W460X213,W460X213,F,213,27100,495,495,284,286,18.5,19,9.52,33.5,33.3,43.7,55.6,30.2,4.25,22,1140000000,5280000,4620000,205,129000000,1400000,909000,69.1,7990000,6.90E+12,32800,78300000,1030000,2620000,80.5,462,1790,2070,1280,1560,384,140,
W,W460X193,W460X193,F,193,24700,490,489,284,283,17,17.5,9.52,30.5,30.2,40.6,52.4,30.2,4.65,23.9,1020000000,4750000,4200000,204,116000000,1260000,818000,68.6,6040000,6.10E+12,32700,70800000,937000,2390000,79.5,460,1780,2070,1260,1550,384,140,
W,W460X177,W460X177,F,177,22600,483,483,287,286,16.6,15.9,7.94,26.9,27,37.1,49.2,30.2,5.31,24.5,912000000,4290000,3790000,201,105000000,1130000,736000,68.3,4410000,5.45E+12,32700,63300000,829000,2150000,79.5,455,1780,2060,1250,1540,384,140,
W,W460X158,W460X158,F,158,20100,475,476,284,286,15,14.3,7.94,23.9,23.8,34,46,28.6,5.96,27.2,795000000,3770000,3340000,199,91600000,991000,646000,67.6,3110000,4.67E+12,32100,54500000,726000,1870000,78.7,452,1760,2040,1230,1520,384,140,
W,W460X144,W460X144,F,144,18400,472,473,282,283,13.6,14.3,7.94,22.1,22.2,32.3,44.5,28.6,6.41,30,728000000,3460000,3080000,199,83700000,906000,592000,67.3,2440000,4.24E+12,31700,49500000,667000,1720000,78.2,450,1740,2030,1230,1510,384,140,
W,W460X128,W460X128,F,128,16300,467,467,282,283,12.2,12.7,6.35,19.6,19,29.7,41.3,27,7.2,33.4,637000000,3050000,2720000,197,72800000,793000,518000,66.8,1710000,3.65E+12,31500,43700000,590000,1510000,77.5,447,1740,2020,1220,1500,384,140,
W,W460X113,W460X113,F,113,14400,462,464,279,279,10.8,11.1,6.35,17.3,17.5,27.4,39.7,27,8.11,37.8,554000000,2670000,2390000,196,63300000,692000,452000,66.3,1180000,3.14E+12,31100,37500000,516000,1320000,76.7,444,1720,2000,1200,1480,384,140,
W,W460X106,W460X106,F,106,13500,470,470,194,194,12.6,12.7,6.35,20.6,20.6,30.7,38.1,22.2,4.71,32.4,487000000,2390000,2080000,191,25100000,405000,259000,43.2,1450000,1.26E+12,21800,21800000,420000,1190000,52.1,450,1480,1670,1130,1330,394,88.9,
W,W460X97,W460X97,F,97,12300,467,467,193,194,11.4,11.1,6.35,19.1,19,29.2,36.5,22.2,5.06,35.7,445000000,2180000,1920000,190,22800000,369000,236000,42.9,1140000,1.14E+12,21600,19900000,387000,1090000,51.6,450,1470,1670,1130,1320,394,88.9,
W,W460X89,W460X89,F,89,11400,462,464,192,190,10.5,11.1,6.35,17.7,17.5,27.9,34.9,20.6,5.44,38.7,410000000,2020000,1770000,190,20900000,338000,218000,42.7,903000,1.03E+12,21400,18100000,356000,993000,51.3,444,1460,1650,1120,1310,394,88.9,
W,W460X82,W460X82,F,82,10500,460,460,191,190,9.91,9.52,4.76,16,15.9,26.2,33.3,20.6,5.98,41.1,370000000,1840000,1610000,188,18700000,303000,195000,42.4,691000,9.21E+11,21200,16200000,321000,906000,50.8,444,1460,1650,1110,1300,394,88.9,
W,W460X74,W460X74,F,74,9480,457,457,191,190,9.02,9.52,4.76,14.5,14.3,24.7,31.8,20.6,6.57,45.2,333000000,1660000,1460000,187,16700000,272000,175000,41.9,516000,8.16E+11,21100,14500000,290000,818000,50.3,442,1450,1640,1100,1300,394,88.9,
W,W460X68,W460X68,F,68,8710,460,457,154,152,9.14,9.52,4.76,15.4,15.9,25.7,31.8,20.6,5.01,44.6,296000000,1490000,1290000,184,9370000,192000,122000,32.8,508000,4.62E+11,17100,10100000,247000,736000,40.1,444,1340,1500,1070,1230,394,88.9,
W,W460X60,W460X60,F,60,7610,455,454,153,152,8,7.94,4.76,13.3,12.7,23.5,30.2,20.6,5.73,50.9,255000000,1280000,1120000,183,7950000,164000,104000,32.3,337000,3.87E+11,16800,8620000,213000,633000,39.6,442,1340,1490,1060,1210,394,88.9,
W,W460X52,W460X52,F,52,6650,450,451,152,152,7.62,7.94,4.76,10.8,11.1,21,28.6,19.1,7.06,53.5,212000000,1090000,944000,179,6370000,132000,83900,31,211000,3.06E+11,16700,6870000,172000,536000,38.4,439,1320,1480,1050,1200,394,88.9,
W,W410X149,W410X149,F,149,19000,432,432,264,264,14.9,14.3,7.94,25,25.4,35.3,47.6,28.6,5.29,24.3,620000000,3240000,2870000,180,77400000,900000,585000,63.8,3220000,3.20E+12,26800,44500000,634000,1610000,74.2,406,1610,1870,1130,1390,337,140,
W,W410X132,W410X132,F,132,16900,427,425,264,264,13.3,12.7,6.35,22.2,22.2,32.5,44.5,27,5.92,27,541000000,2870000,2540000,179,67800000,788000,515000,63.2,2270000,2.74E+12,26700,39200000,564000,1430000,73.2,404,1600,1870,1120,1380,337,140,
W,W410X114,W410X114,F,114,14600,419,419,262,260,11.6,11.1,6.35,19.3,19,29.5,41.3,27,6.77,31.2,462000000,2460000,2200000,178,57400000,674000,441000,62.7,1490000,2.31E+12,26100,33000000,482000,1220000,72.4,399,1580,1840,1100,1360,337,140,
W,W410X100,W410X100,F,100,12600,414,416,259,260,10,9.52,4.76,16.9,17.5,27.2,39.7,25.4,7.7,35.9,397000000,2130000,1920000,177,49500000,582000,380000,62.5,995000,1.96E+12,25700,28100000,418000,1050000,71.6,396,1570,1830,1090,1350,337,140,
W,W410X85,W410X85,F,85,10800,417,416,181,181,10.9,11.1,6.35,18.2,17.5,28.4,34.9,22.2,4.98,33,316000000,1720000,1510000,171,17900000,310000,198000,40.6,924000,7.14E+11,18000,14800000,308000,852000,48.8,399,1340,1520,1010,1190,346,88.9,
W,W410X75,W410X75,F,75,9480,414,413,180,181,9.65,9.52,4.76,16,15.9,26.2,33.3,20.6,5.61,37.4,274000000,1510000,1330000,170,15500000,267000,172000,40.4,633000,6.10E+11,17900,12800000,270000,747000,48,399,1330,1510,1010,1190,346,88.9,
W,W410X67,W410X67,F,67,8580,409,410,179,178,8.76,9.52,4.76,14.4,14.3,24.6,31.8,20.6,6.23,41.1,244000000,1350000,1190000,169,13700000,238000,153000,39.9,462000,5.34E+11,17600,11300000,241000,665000,47.5,394,1320,1500,996,1180,346,88.9,
W,W410X60,W410X60,F,60,7610,406,406,178,178,7.75,7.94,4.76,12.8,12.7,23,30.2,20.6,6.93,46.5,216000000,1200000,1060000,168,12000000,208000,135000,39.9,330000,4.65E+11,17500,9990000,215000,590000,47.2,394,1310,1490,991,1170,346,88.9,
W,W410X53,W410X53,F,53,6840,404,403,178,178,7.49,7.94,4.76,10.9,11.1,21.1,28.6,19.1,8.12,48.1,186000000,1050000,926000,165,10200000,177000,115000,38.6,227000,3.92E+11,17400,8450000,182000,518000,46.5,394,1310,1490,986,1160,346,88.9,
W,W410X46.1,W410X46.1,F,46.1,5890,404,403,140,140,6.99,6.35,3.18,11.2,11.1,21.4,28.6,19.1,6.28,51.6,156000000,885000,773000,163,5160000,115000,73600,29.7,192000,1.98E+11,13800,5410000,147000,436000,36.1,394,1200,1340,947,1090,346,88.9,
W,W410X38.8,W410X38.8,F,38.8,4950,399,400,140,140,6.35,6.35,3.18,8.76,9.52,19,27,19.1,7.97,56.8,125000000,724000,629000,159,3990000,89800,57200,28.4,109000,1.52E+11,13600,4160000,114000,354000,35.1,391,1190,1330,937,1080,346,88.9,
W,W360X1299,W360X1299,T,1300,166000,599,600,478,476,100,100,50.8,140,140,155,157,65.1,1.71,2.89,7530000000,33300000,25100000,213,2570000000,16700000,10800000,124,945000000,1.36E+14,54800,916000000,6060000,16600000,153,460,2420,2900,1680,2150,286,216,76.2
W,W360X1202,W360X1202,T,1200,154000,579,578,472,473,95,95.3,47.6,130,130,145,146,63.5,1.82,3.04,6620000000,30000000,22800000,208,2310000000,15200000,9780000,123,766000000,1.17E+14,53000,816000000,5510000,15000000,151,450,2370,2840,1630,2100,286,216,76.2
W,W360X1086,W360X1086,T,1090,139000,569,568,455,454,78,77.8,39.7,125,125,140,157,69.9,1.82,3.71,5950000000,27200000,21000000,208,1960000000,13400000,8640000,119,604000000,9.72E+13,50500,716000000,5210000,13600000,144,444,2310,2770,1590,2050,254,191,76.2
W,W360X990,W360X990,T,990,126000,549,549,450,448,71.9,71.4,36.5,115,114,130,148,66.7,1.95,4.03,5160000000,24300000,18800000,203,1740000000,12000000,7730000,117,466000000,8.19E+13,48800,629000000,4700000,12100000,141,434,2270,2720,1550,2000,254,191,76.2
W,W360X900,W360X900,T,900,115000,531,530,442,441,66,66.7,33.3,106,106,121,138,63.5,2.09,4.39,4500000000,21600000,17000000,198,1530000000,10700000,6930000,116,362000000,6.93E+13,47000,549000000,4230000,10800000,138,424,2230,2670,1500,1950,254,191,76.2
W,W360X818,W360X818,T,818,105000,513,514,437,438,60.5,60.3,30.2,97,96.8,112,130,60.3,2.25,4.79,3930000000,19300000,15300000,194,1350000000,9550000,6190000,114,278000000,5.88E+13,45400,483000000,3800000,9590000,136,417,2180,2620,1460,1900,254,191,76.2
W,W360X744,W360X744,T,744,94800,498,498,432,432,55.6,55.6,28.6,88.9,88.9,104,122,58.7,2.43,5.21,3420000000,17200000,13700000,190,1200000000,8550000,5560000,113,214000000,5.02E+13,44100,425000000,3420000,8550000,134,409,2160,2590,1430,1860,254,191,76.2
