type,EDI_Std_Nomenclature,AISC_Manual_Label,T_F,W,A,d,ddet,bf,bfdet,tw,twdet,twdet/2,tf,tfdet,kdes,kdet,k1,bf/2tf,h/tw,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Cw,Wno,Sw1,Qf,Qw,rts,ho,PA,PB,PC,PD,T,WGi,WGo
W,W1000X494,W1000X494,T,494,63000,1040,1040,310,308,31,31.8,15.9,54.1,54,84.1,85.7,46,2.86,28,10300000000,23400000,19800000,404,268000000,2820000,1740000,65.3,43700000,6.47E+13,76100,319000000,3700000,11600000,81.5,983,2900,3200,2380,2690,864,191,
W,W1000X486,W1000X486,T,486,61900,1040,1040,307,308,30,30.2,15.9,54.1,54,84.1,85.7,46,2.85,29,10200000000,23100000,19700000,406,266000000,2790000,1720000,65.5,42900000,6.42E+13,75500,314000000,3690000,11400000,81.5,983,2900,3200,2380,2690,864,191,
W,W1000X438,W1000X438,F,438,55600,1030,1030,305,305,26.9,27,14.3,49,49.2,79,81,44.5,3.11,32.2,9120000000,20800000,17700000,404,234000000,2460000,1530000,64.8,31900000,5.59E+13,74200,278000000,3330000,10200000,80.3,978,2870,3180,2360,2670,864,191,
W,W1000X415,W1000X415,F,415,53100,1020,1020,305,305,26.2,25.4,12.7,46,46,75.9,77.8,44.5,3.31,33.3,8530000000,19500000,16700000,401,217000000,2290000,1430000,64,27100000,5.16E+13,74200,259000000,3110000,9620000,79.5,975,2840,3150,2350,2640,864,191,
W,W1000X393,W1000X393,F,393,49900,1020,1020,302,302,24.4,23.8,12.7,43.9,44.4,73.9,76.2,42.9,3.45,35.6,8070000000,18500000,15900000,401,205000000,2160000,1350000,64,23400000,4.86E+13,73500,245000000,2980000,9090000,79.2,973,2840,3150,2330,2640,864,191,
W,W1000X350,W1000X350,F,350,44600,1010,1010,302,302,21.1,20.6,11.1,40.1,39.7,70.1,73,41.3,3.77,41.2,7240000000,16600000,14300000,404,185000000,1930000,1220000,64.5,17200000,4.32E+13,72900,221000000,2720000,8110000,79,968,2820,3120,2320,2620,864,191,
W,W1000X314,W1000X314,F,314,40100,1000,1000,300,298,19.1,19,9.52,36.1,36.5,66,68.3,39.7,4.17,45.6,6450000000,14800000,12900000,401,162000000,1720000,1080000,63.8,12700000,3.79E+13,72300,195000000,2430000,7240000,78,965,2790,3100,2300,2590,864,191,
W,W1000X272,W1000X272,F,272,34400,991,991,300,298,16.5,15.9,7.94,30.5,30.2,60.5,63.5,39.7,4.92,52.6,5490000000,12700000,11100000,399,138000000,1450000,918000,63.2,8030000,3.17E+13,72300,164000000,2060000,6160000,77.2,960,2790,3100,2280,2590,864,191,
W,W1000X249,W1000X249,F,249,31800,980,981,300,298,16.5,15.9,7.94,26.2,25.4,56.1,58.7,39.7,5.76,52.6,4830000000,11400000,9830000,389,118000000,1250000,785000,61,5830000,2.68E+13,71600,140000000,1750000,5510000,75.7,955,2770,3070,2260,2570,864,191,
W,W1000X222,W1000X222,F,222,28300,970,972,300,298,16,15.9,7.94,21.1,20.6,51.1,54,38.1,7.11,54.3,4080000000,9800000,8410000,381,95300000,1020000,636000,58.2,3900000,2.15E+13,71000,112000000,1420000,4720000,73.4,950,2740,3050,2240,2540,864,191,
W,W920X1377,W920X1377,T,1380,175000,1090,1100,472,473,76.7,76.2,38.1,115,114,134,137,58.7,2.05,10.8,30400000000,67700000,55600000,417,2060000000,14100000,8700000,108,595000000,4.94E+14,115000,1570000000,11200000,33800000,135,980,3400,3890,2670,3150,822,191,76.2
W,W920X1269,W920X1269,T,1270,162000,1090,1100,462,464,64,63.5,31.8,115,114,134,137,52.4,2.01,12.9,29100000000,64200000,53300000,424,1910000000,13200000,8280000,109,516000000,4.59E+14,113000,1510000000,11200000,32000000,133,980,3430,3890,2640,3100,822,191,76.2
W,W920X1194,W920X1194,T,1190,152000,1080,1080,457,457,60.5,60.3,30.2,109,110,128,130,50.8,2.1,13.7,27000000000,60000000,49800000,422,1750000000,12200000,7670000,107,437000000,4.14E+14,111000,1390000000,10500000,29800000,131,973,3380,3840,2620,3070,822,191,76.2
W,W920X1077,W920X1077,T,1080,137000,1060,1060,452,451,55.1,55.6,28.6,99.1,98.4,118,119,47.6,2.28,15,23800000000,53600000,44900000,417,1540000000,10800000,6820000,106,327000000,3.57E+14,109000,1220000000,9470000,26700000,129,963,3330,3780,2570,3020,822,191,76.2
