type,EDI_Std_Nomenclature,AISC_Manual_Label,W,A,Ht,h,OD,B,b,tnom,tdes,b/tdes,h/tdes,D/t,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,C
HSS,HSS3X1-1/2X.250,HSS3X1-1/2X1/4,6.26,1.74,3,2.3,,1.5,0.8,0.25,0.23,3.44,9.88,,1.68,1.51,1.12,0.98,0.54,0.91,0.73,0.56,1.44,1.58
HSS,HSS3X1-1/2X.188,HSS3X1-1/2X3/16,4.96,1.37,3,2.48,,1.5,0.98,0.19,0.17,5.62,14.2,,1.42,1.24,0.95,1.02,0.47,0.75,0.62,0.58,1.21,1.28
HSS,HSS3X1-1/2X.125,HSS3X1-1/2X1/8,3.48,0.96,3,2.65,,1.5,1.15,0.13,0.12,9.93,22.9,,1.06,0.9,0.71,1.05,0.36,0.55,0.47,0.61,0.89,0.92
HSS,HSS3X1X.188,HSS3X1X3/16,4.32,1.19,3,2.48,,1,0.48,0.19,0.17,2.75,14.2,,1.07,0.99,0.71,0.95,0.17,0.43,0.35,0.38,0.53,0.79
HSS,HSS3X1X.125,HSS3X1X1/8,3.05,0.84,3,2.65,,1,0.65,0.13,0.12,5.62,22.9,,0.82,0.73,0.55,0.99,0.14,0.33,0.28,0.41,0.41,0.59
HSS,HSS2-1/2X2-1/2X.313,HSS2-1/2X2-1/2X5/16,8.45,2.35,2.5,1.63,,2.5,1.63,0.31,0.29,5.59,5.59,,1.82,1.88,1.46,0.88,1.82,1.88,1.46,0.88,3.2,2.74
HSS,HSS2-1/2X2-1/2X.250,HSS2-1/2X2-1/2X1/4,7.11,1.97,2.5,1.8,,2.5,1.8,0.25,0.23,7.73,7.73,,1.63,1.63,1.3,0.91,1.63,1.63,1.3,0.91,2.79,2.35
HSS,HSS2-1/2X2-1/2X.188,HSS2-1/2X2-1/2X3/16,5.59,1.54,2.5,1.98,,2.5,1.98,0.19,0.17,11.4,11.4,,1.35,1.32,1.08,0.94,1.35,1.32,1.08,0.94,2.25,1.86
HSS,HSS2-1/2X2-1/2X.125,HSS2-1/2X2-1/2X1/8,3.9,1.07,2.5,2.15,,2.5,2.15,0.13,0.12,18.6,18.6,,1,0.95,0.8,0.97,1,0.95,0.8,0.97,1.61,1.31
HSS,HSS2-1/2X2X.250,HSS2-1/2X2X1/4,6.26,1.74,2.5,1.8,,2,1.3,0.25,0.23,5.58,7.73,,1.33,1.37,1.06,0.87,0.93,1.17,0.93,0.73,1.9,1.82
HSS,HSS2-1/2X2X.188,HSS2-1/2X2X3/16,4.96,1.37,2.5,1.98,,2,1.48,0.19,0.17,8.49,11.4,,1.12,1.12,0.89,0.9,0.79,0.96,0.79,0.76,1.55,1.46
HSS,HSS2-1/2X2X.125,HSS2-1/2X2X1/8,3.48,0.96,2.5,2.15,,2,1.65,0.13,0.12,14.2,18.6,,0.83,0.81,0.67,0.93,0.59,0.69,0.59,0.79,1.12,1.04
HSS,HSS2-1/2X1-1/2X.250,HSS2-1/2X1-1/2X1/4,5.41,1.51,2.5,1.8,,1.5,0.8,0.25,0.23,3.44,7.73,,1.03,1.11,0.82,0.83,0.45,0.76,0.6,0.55,1.1,1.29
HSS,HSS2-1/2X1-1/2X.188,HSS2-1/2X1-1/2X3/16,4.32,1.19,2.5,1.98,,1.5,0.98,0.19,0.17,5.62,11.4,,0.88,0.92,0.71,0.86,0.39,0.64,0.52,0.57,0.93,1.05
HSS,HSS2-1/2X1-1/2X.125,HSS2-1/2X1-1/2X1/8,3.05,0.84,2.5,2.15,,1.5,1.15,0.13,0.12,9.93,18.6,,0.67,0.67,0.54,0.89,0.3,0.47,0.4,0.6,0.69,0.76
HSS,HSS2-1/2X1X.188,HSS2-1/2X1X3/16,3.68,1.02,2.5,1.98,,1,0.48,0.19,0.17,2.75,11.4,,0.65,0.71,0.52,0.8,0.14,0.36,0.29,0.37,0.41,0.65
HSS,HSS2-1/2X1X.125,HSS2-1/2X1X1/8,2.63,0.72,2.5,2.15,,1,0.65,0.13,0.12,5.62,18.6,,0.5,0.53,0.4,0.83,0.12,0.27,0.23,0.4,0.32,0.48
HSS,HSS2-1/4X2-1/4X.250,HSS2-1/4X2-1/4X1/4,6.26,1.74,2.25,1.55,,2.25,1.55,0.25,0.23,6.66,6.66,,1.13,1.28,1.01,0.81,1.13,1.28,1.01,0.81,1.96,1.85
HSS,HSS2-1/4X2-1/4X.188,HSS2-1/4X2-1/4X3/16,4.96,1.37,2.25,1.73,,2.25,1.73,0.19,0.17,9.93,9.93,,0.95,1.04,0.85,0.84,0.95,1.04,0.85,0.84,1.6,1.48
HSS,HSS2-1/4X2-1/4X.125,HSS2-1/4X2-1/4X1/8,3.48,0.96,2.25,1.9,,2.25,1.9,0.13,0.12,16.4,16.4,,0.71,0.76,0.63,0.86,0.71,0.76,0.63,0.86,1.15,1.05
HSS,HSS2X2X.250,HSS2X2X1/4,5.41,1.51,2,1.3,,2,1.3,0.25,0.23,5.58,5.58,,0.75,0.96,0.75,0.7,0.75,0.96,0.75,0.7,1.31,1.41
HSS,HSS2X2X.188,HSS2X2X3/16,4.32,1.19,2,1.48,,2,1.48,0.19,0.17,8.49,8.49,,0.64,0.8,0.64,0.73,0.64,0.8,0.64,0.73,1.09,1.14
HSS,HSS2X2X.125,HSS2X2X1/8,3.05,0.84,2,1.65,,2,1.65,0.13,0.12,14.2,14.2,,0.49,0.58,0.49,0.76,0.49,0.58,0.49,0.76,0.8,0.82
HSS,HSS2X1-1/2X.188,HSS2X1-1/2X3/16,3.68,1.02,2,1.48,,1.5,0.98,0.19,0.17,5.62,8.49,,0.5,0.64,0.5,0.7,0.31,0.52,0.42,0.55,0.66,0.82
HSS,HSS2X1-1/2X.125,HSS2X1-1/2X1/8,2.63,0.72,2,1.65,,1.5,1.15,0.13,0.12,9.93,14.2,,0.38,0.48,0.38,0.73,0.24,0.39,0.33,0.58,0.5,0.6
HSS,HSS2X1X.188,HSS2X1X3/16,3.04,0.85,2,1.48,,1,0.48,0.19,0.17,2.75,8.49,,0.35,0.48,0.35,0.64,0.11,0.29,0.23,0.37,0.3,0.51
HSS,HSS2X1X.125,HSS2X1X1/8,2.2,0.61,2,1.65,,1,0.65,0.13,0.12,5.62,14.2,,0.28,0.37,0.28,0.68,0.09,0.22,0.18,0.39,0.24,0.38
HSS,HSS1-1/2X1-1/2X0.250,HSS1-1/2X1-1/2X1/4,3.71,1.04,1.5,0.8,,1.5,0.801,0.25,0.23,3.44,3.44,,0.26,0.47,0.35,0.5,0.26,0.47,0.35,0.5,0.47,0.7
HSS,HSS1-1/2X1-1/2X0.188,HSS1-1/2X1-1/2X3/16,3.04,0.85,1.5,0.98,,1.5,0.978,0.19,0.17,5.62,5.62,,0.24,0.41,0.32,0.53,0.24,0.41,0.32,0.53,0.41,0.59
HSS,HSS1-1/2X1-1/2X0.125,HSS1-1/2X1-1/2X1/8,2.2,0.61,1.5,1.15,,1.5,1.15,0.13,0.12,9.93,9.93,,0.19,0.31,0.25,0.56,0.19,0.31,0.25,0.56,0.32,0.44
HSS,HSS28X1.000,HSS28.000X1.000,288.63,79.1,,,28,,,1,0.93,,,30.1,7250,682,518,9.58,7250,682,518,9.58,14500,1030
HSS,HSS28X.875,HSS28.000X0.875,253.72,69.5,,,28,,,0.88,0.81,,,34.4,6430,602,459,9.62,6430,602,459,9.62,12900,917
HSS,HSS28X.750,HSS28.000X0.750,218.48,59.8,,,28,,,0.75,0.7,,,40.1,5580,520,398,9.66,5580,520,398,9.66,11200,796
HSS,HSS28X.625,HSS28.000X0.625,182.9,50.1,,,28,,,0.63,0.58,,,48.2,4710,437,336,9.7,4710,437,336,9.7,9410,672
HSS,HSS28X.500,HSS28.000X0.500,146.99,40.2,,,28,,,0.5,0.47,,,60.2,3810,353,272,9.74,3810,353,272,9.74,7630,544
HSS,HSS28X.375,HSS28.000X0.375,110.74,30.3,,,28,,,0.38,0.35,,,80.3,2900,267,207,9.78,2900,267,207,9.78,5790,414
HSS,HSS26X.750,HSS26.000X0.750,202.44,55.4,,,26,,,0.75,0.7,,,37.3,4440,447,342,8.95,4440,447,342,8.95,8880,682
HSS,HSS26X.625,HSS26.000X0.625,169.54,46.4,,,26,,,0.63,0.58,,,44.7,3750,376,289,8.99,3750,376,289,8.99,7500,577
HSS,HSS26X.500,HSS26.000X0.500,136.3,37.3,,,26,,,0.5,0.47,,,55.9,3040,303,234,9.03,3040,303,234,9.03,6080,468
HSS,HSS26X.375,HSS26.000X0.375,102.73,28.1,,,26,,,0.38,0.35,,,74.6,2310,229,178,9.07,2310,229,178,9.07,4620,356
HSS,HSS26X.313,HSS26.000X0.313,85.81,23.5,,,26,,,0.31,0.29,,,89.5,1940,192,149,9.09,1940,192,149,9.09,3880,298
HSS,HSS24X1.000,HSS24.000X1.000,245.87,67.4,,,24,,,1,0.93,,,25.8,4490,495,374,8.16,4490,495,374,8.16,8980,746
HSS,HSS24X.875,HSS24.000X0.875,216.31,59.3,,,24,,,0.88,0.81,,,29.5,3990,438,332,8.2,3990,438,332,8.2,7980,663
HSS,HSS24X.750,HSS24.000X0.750,186.41,51.1,,,24,,,0.75,0.7,,,34.4,3470,379,289,8.24,3470,379,289,8.24,6940,577
HSS,HSS24X.625,HSS24.000X0.625,156.18,42.8,,,24,,,0.63,0.58,,,41.3,2930,319,244,8.28,2930,319,244,8.28,5870,488
HSS,HSS24X.500,HSS24.000X0.500,125.61,34.4,,,24,,,0.5,0.47,,,51.6,2380,258,198,8.32,2380,258,198,8.32,4760,397
HSS,HSS24X.375,HSS24.000X0.375,94.71,25.9,,,24,,,0.38,0.35,,,68.8,1810,195,151,8.36,1810,195,151,8.36,3620,302
HSS,HSS24X.313,HSS24.000X0.313,79.13,21.6,,,24,,,0.31,0.29,,,82.6,1520,163,127,8.38,1520,163,127,8.38,3040,253
HSS,HSS22X.750,HSS22.000X0.750,170.37,46.7,,,22,,,0.75,0.7,,,31.5,2650,317,241,7.54,2650,317,241,7.54,5300,481
HSS,HSS22X.625,HSS22.000X0.625,142.81,39.1,,,22,,,0.63,0.58,,,37.8,2240,267,204,7.58,2240,267,204,7.58,4490,408
HSS,HSS22X.500,HSS22.000X0.500,114.92,31.5,,,22,,,0.5,0.47,,,47.3,1820,216,166,7.62,1820,216,166,7.62,3650,331
HSS,HSS22X.375,HSS22.000X0.375,86.69,23.7,,,22,,,0.38,0.35,,,63.1,1390,163,126,7.66,1390,163,126,7.66,2780,253
HSS,HSS22X.313,HSS22.000X0.313,72.45,19.8,,,22,,,0.31,0.29,,,75.7,1170,137,106,7.68,1170,137,106,7.68,2340,212
HSS,HSS20X1.000,HSS20.000X1.000,203.11,55.7,,,20,,,1,0.93,,,21.5,2540,338,254,6.75,2540,338,254,6.75,5080,506
HSS,HSS20X.875,HSS20.000X0.875,178.89,49,,,20,,,0.88,0.81,,,24.6,2260,300,226,6.79,2260,300,226,6.79,4520,451
HSS,HSS20X.750,HSS20.000X0.750,154.34,42.3,,,20,,,0.75,0.7,,,28.7,1970,260,197,6.83,1970,260,197,6.83,3940,394
HSS,HSS20X.625,HSS20.000X0.625,129.45,35.5,,,20,,,0.63,0.58,,,34.4,1670,219,167,6.87,1670,219,167,6.87,3350,334
HSS,HSS20X.500,HSS20.000X0.500,104,28.5,,,20,,,0.5,0.47,,,43,1360,177,136,6.91,1360,177,136,6.91,2720,272
HSS,HSS20X.375,HSS20.000X0.375,78.67,21.5,,,20,,,0.38,0.35,,,57.3,1040,135,104,6.95,1040,135,104,6.95,2080,208
HSS,HSS20X.313,HSS20.000X0.313,65.77,18,,,20,,,0.31,0.29,,,68.8,874,113,87.4,6.97,874,113,87.4,6.97,1750,175
